Answer,Atoms,Backjumps,Bodies,Bounds LB,Bounds UB,CPU Time,CPU time,Calls,Choices,Conflicts,Constraints,Date,Equivalences,Instance,Lemmas,Log,Model-Level,Models,Obj updates,Obj val,Optimization,Problems,Real time,Restarts,Result,Rules,Sys time,TIME LIMIT,Time,Uptime,Used memory,Variables,c   Binary,c   Bounded,c   Choice,c   Conflict,c   Count,c   Executed,c   Loop,c   Minimize,c   Other,c   Ternary
1.0,7036.0,2996.0,3657.0,,,0.082,0.1,1.0,6199.0,3012.0,1108.0,2025.0,3337.0,instances/bms/100/bible.txt,2996.0,100-04-ASP-order/bms3000/bible.txt.lp.log.gz,273.0,1.0,1,64,64.0,16.0,0.1,0.0,opt,9609.0,0.0,,0.085,20.0,NaN,1776.0,2.0,2.0,478.0,2996.0,63.0,2994.0,0.0,1.0,0.0,174.0
1.0,5514.0,0.0,2289.0,,,0.031,0.1,1.0,166.0,8.0,1087.0,2025.0,1856.0,instances/bms/100/fields.c,0.0,100-04-ASP-order/bms3000/fields.c.lp.log.gz,173.0,1.0,1,92,92.0,8.0,0.1,0.0,opt,7199.0,0.0,,0.033,20.0,NaN,1279.0,0.0,0.0,279.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,5814.0,8.0,2807.0,,,0.032,0.1,1.0,196.0,30.0,1415.0,2025.0,2171.0,instances/bms/100/grammar.lsp,8.0,100-04-ASP-order/bms3000/grammar.lsp.lp.log.gz,192.0,1.0,1,76,76.0,22.0,0.1,0.0,opt,7893.0,0.0,,0.034,20.0,NaN,1390.0,0.0,1.0,312.0,8.0,0.0,7.0,0.0,1.0,0.0,3.0
,4996.0,134657466.0,1929.0,18,*,3582.468,3582.5,1.0,163700465.0,134657483.0,804.0,2025.0,1807.0,instances/bms/100/alphabet.txt,134657465.0,100-04-ASP-order/bms3000/alphabet.txt.lp.log.gz,,0.0,0,0,,18.0,3600.1,78979.0,unknown,6237.0,0.0,1.0,3600.007,21.0,NaN,876.0,33.0,5.0,244.0,134657465.0,0.0,134657461.0,0.0,1.0,0.0,704.0
1.0,5084.0,400.0,1889.0,,,0.031,0.1,1.0,1404.0,408.0,477.0,2025.0,1783.0,instances/bms/100/paper4,400.0,100-04-ASP-order/bms3000/paper4.lp.log.gz,204.0,1.0,1,86,86.0,8.0,0.1,0.0,opt,6369.0,0.0,,0.033,20.0,NaN,900.0,0.0,3.0,268.0,400.0,26.0,397.0,0.0,1.0,0.0,48.0
1.0,33970.0,17196.0,28507.0,,,0.782,0.8,1.0,162788.0,17212.0,22806.0,2025.0,17240.0,instances/bms/100/sum,17196.0,100-04-ASP-order/bms3000/sum.lp.log.gz,214.0,1.0,1,42,42.0,16.0,0.9,30.0,opt,57495.0,0.0,,0.787,20.0,NaN,18769.0,1.0,3.0,2467.0,17196.0,0.0,17193.0,0.0,1.0,0.0,54.0
1.0,4992.0,25.0,2025.0,,,0.028,0.1,1.0,208.0,45.0,866.0,2025.0,1675.0,instances/bms/100/cp.html,25.0,100-04-ASP-order/bms3000/cp.html.lp.log.gz,181.0,1.0,1,76,76.0,20.0,0.1,0.0,opt,6441.0,0.0,,0.03,20.0,NaN,900.0,0.0,5.0,248.0,25.0,0.0,20.0,0.0,1.0,0.0,10.0
1.0,5679.0,3.0,2440.0,,,0.031,0.1,1.0,250.0,10.0,683.0,2025.0,2236.0,instances/bms/100/world192.txt,3.0,100-04-ASP-order/bms3000/world192.txt.lp.log.gz,258.0,1.0,1,84,84.0,7.0,0.1,0.0,opt,7391.0,0.0,,0.033,20.0,NaN,1164.0,1.0,2.0,335.0,3.0,27.0,1.0,0.0,1.0,0.0,2.0
1.0,36506.0,40511.0,31229.0,,,2.903,3.0,1.0,64097.0,40515.0,25556.0,2025.0,18957.0,instances/bms/100/fibonacci.16,40511.0,100-04-ASP-order/bms3000/fibonacci.16.lp.log.gz,24.0,1.0,1,4,4.0,4.0,3.0,11.0,opt,62247.0,0.0,,2.916,20.0,NaN,20552.0,7.0,3.0,2694.0,40511.0,0.0,40508.0,0.0,1.0,0.0,243.0
1.0,43175.0,941758.0,37001.0,,,69.88,69.9,1.0,1773623.0,941772.0,30421.0,2025.0,22324.0,instances/bms/100/binary-de-brujin.11,941758.0,100-04-ASP-order/bms3000/binary-de-brujin.11.lp.log.gz,57.0,1.0,1,14,14.0,14.0,70.2,420.0,opt,73726.0,0.0,,70.161,20.0,NaN,24400.0,78.0,81.0,3175.0,941758.0,0.0,941677.0,0.0,1.0,0.0,1628.0
