Added PB MDD for |99_99| <= 1,Added PB MDD for |99_99| <= 3,Added PB MDD for |99_99| <= 6,Added PB MDD for |99_99| <= 7,CPU time,Date,Instance,Log,Mono,No. effective iterative eliminations,Obj updates,Obj val,Real time,Result,Sys time,UB=1 fails_ cnfls=1_ hcnfls=1_ lacnfls=0_ lascnfls=0_ core 0_ tier2 0_ local 0_ quasiC,UB=2 fails_ cnfls=2_ hcnfls=1_ lacnfls=0_ lascnfls=1_ core 0_ tier2 0_ local 0_ quasiC,UB=4 fails_ cnfls=215_ hcnfls=129_ lacnfls=6_ lascnfls=86_ core 279_ tier2 76_ local 137_ quasiC,Uptime,Used memory,c [SCS] lower bound,fixedCost 1_ satCost 0_ totalFixedVars 1_ objForSearch,initial LB,initial UB,nb soft clauses and lits,nbHardens 290 (fixed 4787)_ shorten,provided UB,prunedLB 0.00_ dev 0.00_ succRate 0.00_ nbSucc 0_ nbHardens 1 (fixed 99)_ lk,prunedLB 2.00_ dev 0.00_ succRate 1.00_ nbSucc 1_ nbHardens 1 (fixed 99)_ lk,prunedLB 2.79_ dev 0.74_ succRate 0.58_ nbSucc 84_ nbHardens 46 (fixed 1224)_ lk,sattime  preproc time,shorten
,,,,0.5,2025.0,instances/bms/100/paper1,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/paper1.gz.log.gz,,,2,79,0.5,opt,0.1,,,,14.0,NaN,71.0,,,,,,,,,,,
,,,,0.4,2025.0,instances/bms/100/paper3,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/paper3.gz.log.gz,,,2,76,0.4,opt,0.1,,,,14.0,NaN,68.0,,,,,,,,,,,
,,,,38.2,2025.0,instances/bms/100/E.coli,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/E.coli.gz.log.gz,,,2,33,38.3,opt,0.2,,,,14.0,NaN,1.0,,,,,,,,,,,
,,,,0.3,2025.0,instances/bms/100/book2,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/book2.gz.log.gz,,,2,83,0.4,opt,0.1,,,,14.0,NaN,72.0,,,,,,,,,,,
,,,,3.6,2025.0,instances/bms/100/pic,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/pic.gz.log.gz,,,1,2,3.6,opt,0.5,,,,14.0,NaN,,,,,,,,,,,,
,,,,3.6,2025.0,instances/bms/100/ptt5,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/ptt5.gz.log.gz,,,1,2,3.7,opt,0.5,,,,14.0,NaN,,,,,,,,,,,,
,,,,845.6,2025.0,instances/bms/100/paper-folding.10,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/paper-folding.10.gz.log.gz,,,2,11,848.8,opt,0.7,,,,14.0,NaN,,,,,,,,,,,,
,,,,1.5,2025.0,instances/bms/100/paper5,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/paper5.gz.log.gz,,,2,54,1.5,opt,0.1,,,,14.0,NaN,34.0,,,,,,,,,,,
,,,,492.0,2025.0,instances/bms/100/thue-morse.11,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/thue-morse.11.gz.log.gz,,,2,8,493.7,opt,0.5,,,,14.0,NaN,,,,,,,,,,,,
,,,,20.0,2025.0,instances/bms/100/kennedy.xls,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/kennedy.xls.gz.log.gz,,,2,58,20.1,opt,0.2,,,,14.0,NaN,45.0,,,,,,,,,,,
,,,,0.3,2025.0,instances/bms/100/progp,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/progp.gz.log.gz,,,2,82,0.3,opt,0.1,,,,14.0,NaN,69.0,,,,,,,,,,,
,,,,154.7,2025.0,instances/bms/100/tribonacci.13,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/tribonacci.13.gz.log.gz,,,2,8,155.4,opt,0.3,,,,14.0,NaN,,,,,,,,,,,,
,,,,0.7,2025.0,instances/bms/100/plrabn12.txt,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/plrabn12.txt.gz.log.gz,,,2,79,0.8,opt,0.1,,,,14.0,NaN,68.0,,,,,,,,,,,
,,,,88.9,2025.0,instances/bms/100/kolakoski.17,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/kolakoski.17.gz.log.gz,,,2,10,89.2,opt,0.2,,,,14.0,NaN,,,,,,,,,,,,
,,,,0.1,2025.0,instances/bms/100/alphabet.txt,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/alphabet.txt.gz.log.gz,,,1,27,0.1,opt,0.0,,,,14.0,NaN,1.0,,,,,,,,,,,
,,,,711.0,2025.0,instances/bms/100/quaternary-paper-folding.11,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/quaternary-paper-folding.11.gz.log.gz,,,2,14,713.5,opt,0.5,,,,14.0,NaN,1.0,,,,,,,,,,,
,,,,1.5,2025.0,instances/bms/100/pi.txt,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/pi.txt.gz.log.gz,,,2,71,1.5,opt,0.1,,,,14.0,NaN,47.0,,,,,,,,,,,
,,,,21.9,2025.0,instances/bms/100/geo,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/geo.gz.log.gz,,,2,41,22.0,opt,0.2,,,,14.0,NaN,,,,,,,,,,,,
,,,,0.1,2025.0,instances/bms/100/cp.html,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/cp.html.gz.log.gz,,,2,76,0.1,opt,0.0,,,,14.0,NaN,64.0,,,,,,,,,,,
,,,,0.1,2025.0,instances/bms/100/random.txt,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/random.txt.gz.log.gz,,,1,99,0.1,opt,0.0,,,,14.0,NaN,98.0,,,,,,,,,,,
,,,,0.4,2025.0,instances/bms/100/world192.txt,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/world192.txt.gz.log.gz,,,2,84,0.4,opt,0.1,,,,14.0,NaN,79.0,,,,,,,,,,,
,,,,1067.7,2025.0,instances/bms/100/binary-de-brujin.11,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/binary-de-brujin.11.gz.log.gz,,,2,14,1071.1,opt,6.6,,,,14.0,NaN,,,,,,,,,,,,
,,,,0.5,2025.0,instances/bms/100/paper2,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/paper2.gz.log.gz,,,2,77,0.6,opt,0.1,,,,14.0,NaN,68.0,,,,,,,,,,,
,,,,0.6,2025.0,instances/bms/100/xargs.1,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/xargs.1.gz.log.gz,,,2,81,0.6,opt,0.1,,,,14.0,NaN,70.0,,,,,,,,,,,
