CPU time,Date,Instance,Log,Obj updates,Obj val,Real time,Result,Sys time,Uptime,Used memory,c 3600   Binary,c 3600   Bounded,c 3600   Choice,c 3600   Conflict,c 3600   Count,c 3600   Executed,c 3600   Loop,c 3600   Minimize,c 3600   Other,c 3600   Ternary,c 3600 Atoms,c 3600 Backjumps,c 3600 Bodies,c 3600 CPU Time,c 3600 Calls,c 3600 Choices,c 3600 Conflicts,c 3600 Constraints,c 3600 Equivalences,c 3600 Lemmas,c 3600 Models,c 3600 Problems,c 3600 Restarts,c 3600 Rules,c 3600 TIME LIMIT,c 3600 Time,c 3600 Variables,c 576   Binary,c 576   Bounded,c 576   Conflict,c 576   Executed,c 576   Loop,c 576   Other,c 576   Ternary,c 576 Atoms,c 576 Backjumps,c 576 Bodies,c 576 CPU Time,c 576 Calls,c 576 Choices,c 576 Conflicts,c 576 Constraints,c 576 Lemmas,c 576 Models,c 576 Problems,c 576 Restarts,c 576 Rules,c 576 Time,c 576 Variables,c 580   Binary,c 580   Bounded,c 580   Conflict,c 580   Executed,c 580   Loop,c 580   Other,c 580   Ternary,c 580 Atoms,c 580 Backjumps,c 580 Bodies,c 580 CPU Time,c 580 Calls,c 580 Choices,c 580 Conflicts,c 580 Constraints,c 580 Lemmas,c 580 Models,c 580 Problems,c 580 Restarts,c 580 Rules,c 580 Time,c 580 Variables,c 670   Binary,c 670   Bounded,c 670   Conflict,c 670   Executed,c 670   Loop,c 670   Other,c 670   Ternary,c 670 Atoms,c 670 Backjumps,c 670 Bodies,c 670 CPU Time,c 670 Calls,c 670 Choices,c 670 Conflicts,c 670 Constraints,c 670 Lemmas,c 670 Models,c 670 Problems,c 670 Restarts,c 670 Rules,c 670 Time,c 670 Variables
3581.0,2026.0,instances/bms10000/paper4.lp,13-ASP-order-trendy-usc-10000/bms10000/paper4.lp.log.gz,0,0,3600.4,unknown,6.4,6.0,NaN,1114.0,1505.0,3215368.0,18591535.0,9905.0,18590030.0,0.0,1.0,0.0,3297.0,28943196.0,18591535.0,25718173.0,3580.565,1.0,204746452.0,18593582.0,16102026.0,22517467.0,18591535.0,0.0,2048.0,9524.0,48210727.0,1.0,3600.006,12866386.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3584.6,2026.0,instances/bms10000/sum.lp,13-ASP-order-trendy-usc-10000/bms10000/sum.lp.log.gz,0,0,3600.7,unknown,11.3,6.0,NaN,1719.0,1618.0,6409667.0,6980832.0,9691.0,6979214.0,0.0,1.0,0.0,6794.0,57685293.0,6980832.0,51267191.0,3583.962,1.0,548531990.0,6983487.0,32055272.0,44877412.0,6980832.0,0.0,2656.0,4220.0,96113351.0,1.0,3600.018,25637044.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3580.6,2026.0,instances/bms10000/world192.txt.lp,13-ASP-order-trendy-usc-10000/bms10000/world192.txt.lp.log.gz,0,0,3600.4,unknown,4.7,7.0,NaN,1054.0,1343.0,2769423.0,6923743.0,9937.0,6922400.0,0.0,1.0,0.0,4228.0,24929670.0,6923743.0,22150433.0,3580.214,1.0,60873522.0,6925895.0,13872006.0,19395892.0,6923743.0,0.0,2153.0,5134.0,41521318.0,1.0,3600.003,11082573.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3580.9,2026.0,instances/bms10000/book1.lp,13-ASP-order-trendy-usc-10000/bms10000/book1.lp.log.gz,0,0,3600.5,unknown,6.2,6.0,NaN,1565.0,2071.0,3250569.0,26876300.0,9899.0,26874229.0,0.0,1.0,0.0,5362.0,29258852.0,26876300.0,25998656.0,3580.403,1.0,803303123.0,26878751.0,16274600.0,22763894.0,26876300.0,0.0,2452.0,15630.0,48736454.0,1.0,3600.005,13006037.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3583.0,2026.0,instances/bms10000/asyoulik.txt.lp,13-ASP-order-trendy-usc-10000/bms10000/asyoulik.txt.lp.log.gz,0,0,3600.4,unknown,5.1,6.0,NaN,1729.0,2086.0,2771976.0,12897126.0,9925.0,12895040.0,0.0,1.0,0.0,15074.0,24951899.0,12897126.0,22170263.0,3582.59,1.0,1012922715.0,12899447.0,13882624.0,19413807.0,12897126.0,0.0,2322.0,9251.0,41558252.0,1.0,3600.0,11092025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627.8,2026.0,instances/bms10000/pic.lp,13-ASP-order-trendy-usc-10000/bms10000/pic.lp.log.gz,0,0,630.1,unknown,36.9,5.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574.011,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576.065,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3580.7,2026.0,instances/bms10000/paper3.lp,13-ASP-order-trendy-usc-10000/bms10000/paper3.lp.log.gz,0,0,3600.4,unknown,4.8,6.0,NaN,1654.0,1803.0,2658220.0,9672138.0,9919.0,9670335.0,0.0,1.0,0.0,9653.0,23926640.0,9672138.0,21258657.0,3580.295,1.0,408478951.0,9674401.0,13309414.0,18617495.0,9672138.0,0.0,2264.0,7983.0,39848907.0,1.0,3599.998,10635554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624.6,2026.0,instances/bms10000/ptt5.lp,13-ASP-order-trendy-usc-10000/bms10000/ptt5.lp.log.gz,0,0,635.2,unknown,34.5,5.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.238,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.62,0.0,,,,,,,,,,,,,,,,,,,,,,
658.1,2026.0,instances/bms10000/aaa.txt.lp,13-ASP-order-trendy-usc-10000/bms10000/aaa.txt.lp.log.gz,0,0,743.6,unknown,49.2,5.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.68,0.0
0.1,2026.0,instances/bms10000/random.txt.lp,13-ASP-order-trendy-usc-10000/bms10000/random.txt.lp.log.gz,0,0,3600.2,unknown,0.0,6.0,NaN,2459.0,557.0,791531.0,4745757.0,9952.0,4745200.0,0.0,1.0,0.0,4824.0,7128705.0,4745757.0,6327175.0,3580.471,1.0,30708964.0,4750123.0,2255158.0,5550716.0,4745757.0,0.0,4366.0,3552.0,11852866.0,1.0,3600.008,3171050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
