Answer,Atoms,Backjumps,Bodies,Bounds LB,Bounds UB,CPU Time,CPU time,Calls,Choices,Conflicts,Constraints,Date,Equivalences,Instance,Lemmas,Log,Model-Level,Models,Obj updates,Obj val,Optimization,Problems,Real time,Restarts,Result,Rules,Sys time,TIME LIMIT,Time,Uptime,Used memory,Variables,c   Binary,c   Bounded,c   Choice,c   Conflict,c   Count,c   Executed,c   Loop,c   Minimize,c   Other,c   Ternary
1.0,1044629.0,727997.0,927345.0,,,118.388,118.7,1.0,66673897.0,728522.0,359352.0,2026.0,803705.0,instances/bms/2000/paper4,727997.0,06-ASP-order-trendy-usc-2000/bms3000/paper4.lp.log.gz,14359.0,1.0,1,698,698.0,525.0,119.2,661.0,opt,1739060.0,0.2,,118.933,23.0,NaN,470929.0,416.0,213.0,114550.0,727997.0,1831.0,727784.0,0.0,1.0,0.0,6023.0
,9597431.0,4627501.0,8529815.0,464,*,3588.223,3588.3,1.0,1551726874.0,4627895.0,5365007.0,2026.0,7455588.0,instances/bms/2000/sum,4627501.0,06-ASP-order-trendy-usc-2000/bms3000/sum.lp.log.gz,,0.0,0,0,,395.0,3600.1,3012.0,unknown,15993930.0,1.7,1.0,3600.0,0.0,NaN,4272154.0,413.0,364.0,1064895.0,4627501.0,1742.0,4627137.0,0.0,1.0,0.0,7873.0
,923773.0,20197198.0,820581.0,676,*,3579.571,3579.6,1.0,30348927.0,20197638.0,317587.0,2026.0,709687.0,instances/bms/2000/world192.txt,20197198.0,06-ASP-order-trendy-usc-2000/bms3000/world192.txt.lp.log.gz,,0.0,0,0,,441.0,3600.1,12265.0,unknown,1538286.0,0.2,1.0,3600.002,0.0,NaN,417229.0,244.0,125.0,101116.0,20197198.0,1800.0,20197073.0,0.0,1.0,0.0,1290.0
1.0,1140084.0,202180.0,1012363.0,,,76.56,76.9,1.0,40563166.0,202719.0,387724.0,2026.0,878009.0,instances/bms/2000/book1,202180.0,06-ASP-order-trendy-usc-2000/bms3000/book1.lp.log.gz,23421.0,1.0,1,732,732.0,539.0,77.3,289.0,opt,1898259.0,0.3,,76.914,23.0,NaN,513312.0,227.0,170.0,125162.0,202180.0,1841.0,202010.0,0.0,1.0,0.0,3983.0
1.0,862077.0,8933710.0,765008.0,,,962.65,962.9,1.0,326855064.0,8934234.0,297584.0,2026.0,661724.0,instances/bms/2000/asyoulik.txt,8933710.0,06-ASP-order-trendy-usc-2000/bms3000/asyoulik.txt.lp.log.gz,13834.0,1.0,1,716,716.0,524.0,967.6,10175.0,opt,1434720.0,0.2,,967.249,0.0,NaN,389818.0,864.0,169.0,94255.0,8933710.0,1841.0,8933541.0,0.0,1.0,0.0,12410.0
1.0,18019979.0,0.0,16015980.0,,,201.503,204.8,1.0,1994.0,3.0,10036940.0,2026.0,14008999.0,instances/bms/2000/pic,0.0,06-ASP-order-trendy-usc-2000/bms3000/pic.lp.log.gz,1995.0,1.0,1,2,2.0,3.0,205.7,0.0,opt,30029962.0,3.4,,202.35,23.0,NaN,8013979.0,0.0,0.0,2001000.0,0.0,1997.0,0.0,0.0,1.0,0.0,0.0
,988987.0,54245985.0,878347.0,739,*,3588.198,3588.3,1.0,729185882.0,54246512.0,338499.0,2026.0,760387.0,instances/bms/2000/paper3,54245985.0,06-ASP-order-trendy-usc-2000/bms3000/paper3.lp.log.gz,,0.0,0,0,,528.0,3600.1,42895.0,unknown,1646792.0,0.3,1.0,3599.997,0.0,NaN,446241.0,637.0,225.0,108356.0,54245985.0,1781.0,54245760.0,0.0,1.0,0.0,9628.0
1.0,18019979.0,0.0,16015980.0,,,201.589,204.8,1.0,1994.0,3.0,10036940.0,2026.0,14008999.0,instances/bms/2000/ptt5,0.0,06-ASP-order-trendy-usc-2000/bms3000/ptt5.lp.log.gz,1995.0,1.0,1,2,2.0,3.0,205.7,0.0,opt,30029962.0,3.4,,202.422,23.0,NaN,8013979.0,0.0,0.0,2001000.0,0.0,1997.0,0.0,0.0,1.0,0.0,0.0
1.0,18019979.0,0.0,16015980.0,,,200.379,204.0,1.0,1994.0,3.0,10036940.0,2026.0,14008999.0,instances/bms/2000/aaa.txt,0.0,06-ASP-order-trendy-usc-2000/bms3000/aaa.txt.lp.log.gz,1995.0,1.0,1,2,2.0,3.0,204.8,0.0,opt,30029962.0,3.5,,201.101,23.0,NaN,8013979.0,0.0,0.0,2001000.0,0.0,1997.0,0.0,0.0,1.0,0.0,0.0
1.0,311715.0,239.0,275604.0,,,1.862,2.0,1.0,185559.0,593.0,84274.0,2026.0,233783.0,instances/bms/2000/random.txt,239.0,06-ASP-order-trendy-usc-2000/bms3000/random.txt.lp.log.gz,33319.0,1.0,1,1595,1595.0,354.0,2.0,0.0,opt,517352.0,0.1,,1.872,23.0,NaN,145155.0,18.0,64.0,33112.0,239.0,1743.0,175.0,0.0,1.0,0.0,156.0
1.0,1013943.0,18177456.0,900387.0,,,1442.835,1443.1,1.0,671590239.0,18177998.0,348072.0,2026.0,779832.0,instances/bms/2000/paper2,18177456.0,06-ASP-order-trendy-usc-2000/bms3000/paper2.lp.log.gz,14487.0,1.0,1,742,742.0,542.0,1452.4,11262.0,opt,1688253.0,0.3,,1451.991,0.0,NaN,457292.0,1051.0,190.0,111139.0,18177456.0,1778.0,18177266.0,0.0,1.0,0.0,15509.0
1.0,1826264.0,1676932.0,1621854.0,,,1676.138,1676.5,1.0,524070392.0,1677590.0,628018.0,2026.0,1411876.0,instances/bms/2000/pi.txt,1676932.0,06-ASP-order-trendy-usc-2000/bms3000/pi.txt.lp.log.gz,9206.0,1.0,1,658,658.0,658.0,1682.8,2073.0,opt,3041333.0,0.4,,1682.371,0.0,NaN,818209.0,905.0,164.0,201411.0,1676932.0,1963.0,1676768.0,0.0,1.0,0.0,14176.0
