CPU time,Date,Instance,Log,Obj updates,Obj val,Real time,Result,Sys time,Time taken,Uptime,Used memory
78.0,2024.0,instances/bms/300/paper1,300-13-MaxSAT-PySAT-mgh/bms/300/paper1.gz.log.gz,1,193,78.5,opt,0.2,78.1021,1.0,NaN
141.4,2024.0,instances/bms/300/paper3,300-13-MaxSAT-PySAT-mgh/bms/300/paper3.gz.log.gz,1,195,142.1,opt,0.3,141.6844,2.0,NaN
894.8,2024.0,instances/bms/300/E.coli,300-13-MaxSAT-PySAT-mgh/bms/300/E.coli.gz.log.gz,1,71,898.0,opt,3.8,895.8955,1.0,NaN
477.6,2024.0,instances/bms/300/book2,300-13-MaxSAT-PySAT-mgh/bms/300/book2.gz.log.gz,1,190,479.5,opt,0.5,479.0478,1.0,NaN
3588.1,2024.0,instances/bms/300/paper-folding.10,300-13-MaxSAT-PySAT-mgh/bms/300/paper-folding.10.gz.log.gz,0,0,3600.5,unknown,15.9,,2.0,NaN
901.8,2024.0,instances/bms/300/paper5,300-13-MaxSAT-PySAT-mgh/bms/300/paper5.gz.log.gz,1,121,905.0,opt,0.7,904.5412,3.0,NaN
3588.6,2024.0,instances/bms/300/thue-morse.11,300-13-MaxSAT-PySAT-mgh/bms/300/thue-morse.11.gz.log.gz,0,0,3600.4,unknown,14.5,,3.0,NaN
1846.3,2024.0,instances/bms/300/kennedy.xls,300-13-MaxSAT-PySAT-mgh/bms/300/kennedy.xls.gz.log.gz,0,0,1852.8,unknown,4.0,,2.0,NaN
3586.7,2024.0,instances/bms/300/progp,300-13-MaxSAT-PySAT-mgh/bms/300/progp.gz.log.gz,0,0,3600.0,unknown,0.9,,3.0,NaN
3588.4,2024.0,instances/bms/300/tribonacci.13,300-13-MaxSAT-PySAT-mgh/bms/300/tribonacci.13.gz.log.gz,0,0,3600.5,unknown,15.5,,2.0,NaN
746.8,2024.0,instances/bms/300/plrabn12.txt,300-13-MaxSAT-PySAT-mgh/bms/300/plrabn12.txt.gz.log.gz,1,165,749.7,opt,0.6,749.1943,1.0,NaN
358.4,2024.0,instances/bms/300/kolakoski.17,300-13-MaxSAT-PySAT-mgh/bms/300/kolakoski.17.gz.log.gz,1,15,359.8,opt,7.0,355.3702,3.0,NaN
