Acyc-Edges,Answer,Atoms,Backjumps,Bodies,Bounds LB,Bounds UB,CPU Time,CPU time,Calls,Choices,Conflicts,Constraints,Date,Equivalences,Instance,Lemmas,Log,Model-Level,Models,Obj updates,Obj val,Optimization,Problems,Real time,Restarts,Result,Rules,Sys time,TIME LIMIT,Time,Uptime,Used memory,Variables,c   Acyc,c   Binary,c   Bounded,c   Choice,c   Conflict,c   Count,c   Executed,c   Loop,c   Minimize,c   Other,c   Ternary
531886.0,,1359563.0,16809397.0,1619779.0,901,*,3578.2,3578.3,1.0,41246297.0,16810136.0,817163.0,2026.0,1338599.0,instances/bms/3000/paper4,19592720.0,07-ASP-edge-trendy-usc-3000/bms3000/paper4.lp.log.gz,,0.0,0,0,,740.0,3600.1,10928.0,unknown,2973466.0,0.3,1.0,3600.0,0.0,NaN,552796.0,531886.0,251.0,297.0,268943.0,16809397.0,2849.0,16809100.0,2783323.0,1.0,0.0,17700.0
3108972.0,,7801575.0,18141790.0,9351786.0,812,*,3584.478,3584.6,1.0,68669378.0,18142559.0,7826234.0,2026.0,7781049.0,instances/bms/3000/sum,69646417.0,07-ASP-edge-trendy-usc-3000/bms3000/sum.lp.log.gz,,0.0,0,0,,769.0,3600.1,11105.0,unknown,17147626.0,1.4,1.0,3600.006,1.0,NaN,3129329.0,3108972.0,457.0,439.0,1557486.0,18141790.0,2635.0,18141351.0,51504627.0,1.0,0.0,13771.0
442760.0,,1136741.0,16467658.0,1352717.0,912,*,3582.711,3582.8,1.0,22269548.0,16468296.0,677640.0,2026.0,1115845.0,instances/bms/3000/world192.txt,16470698.0,07-ASP-edge-trendy-usc-3000/bms3000/world192.txt.lp.log.gz,,0.0,0,0,,639.0,3600.1,12455.0,unknown,2483565.0,0.3,1.0,3600.005,1.0,NaN,463633.0,442760.0,241.0,52.0,224380.0,16467658.0,2854.0,16467606.0,3040.0,1.0,0.0,1694.0
559712.0,1.0,1428733.0,117109.0,1703071.0,,,56.831,57.2,1.0,15628694.0,117894.0,853407.0,2026.0,1408187.0,instances/bms/3000/book1,550233.0,07-ASP-edge-trendy-usc-3000/bms3000/book1.lp.log.gz,47581.0,1.0,1,980,980.0,785.0,57.5,213.0,opt,3125903.0,0.3,,57.063,23.0,NaN,580217.0,559712.0,236.0,274.0,282856.0,117109.0,2853.0,116835.0,433124.0,1.0,0.0,15640.0
427058.0,,1097532.0,18437648.0,1305549.0,943,*,3581.603,3581.7,1.0,27920198.0,18438389.0,660435.0,2026.0,1076600.0,instances/bms/3000/asyoulik.txt,19626584.0,07-ASP-edge-trendy-usc-3000/bms3000/asyoulik.txt.lp.log.gz,,0.0,0,0,,742.0,3600.1,11165.0,unknown,2397186.0,0.3,1.0,3600.0,0.0,NaN,447969.0,427058.0,114.0,154.0,216529.0,18437648.0,2855.0,18437494.0,1188936.0,1.0,0.0,6131.0
8997000.0,1.0,22519486.0,1.0,27011987.0,,,336.948,339.6,1.0,2993.0,4.0,22537460.0,2026.0,22501499.0,instances/bms/3000/pic,2999.0,07-ASP-edge-trendy-usc-3000/bms3000/pic.lp.log.gz,2.0,1.0,1,2,2.0,3.0,340.7,0.0,opt,49525475.0,4.6,,337.983,0.0,NaN,9014986.0,8997000.0,1.0,0.0,4501500.0,1.0,2998.0,1.0,2998.0,1.0,0.0,1.0
467598.0,,1198759.0,15629779.0,1427005.0,933,*,3581.483,3581.5,1.0,38189510.0,15630485.0,717068.0,2026.0,1177908.0,instances/bms/3000/paper3,22862397.0,07-ASP-edge-trendy-usc-3000/bms3000/paper3.lp.log.gz,,0.0,0,0,,707.0,3600.1,17561.0,unknown,2619902.0,0.3,1.0,3600.005,0.0,NaN,488410.0,467598.0,457.0,251.0,236799.0,15629779.0,2820.0,15629528.0,7232618.0,1.0,0.0,25872.0
8997000.0,1.0,22519486.0,1.0,27011987.0,,,333.497,336.1,1.0,2993.0,4.0,22537460.0,2026.0,22501499.0,instances/bms/3000/ptt5,2999.0,07-ASP-edge-trendy-usc-3000/bms3000/ptt5.lp.log.gz,2.0,1.0,1,2,2.0,3.0,337.3,0.0,opt,49525475.0,4.6,,334.662,0.0,NaN,9014986.0,8997000.0,1.0,0.0,4501500.0,1.0,2998.0,1.0,2998.0,1.0,0.0,1.0
8997000.0,1.0,22519486.0,1.0,27011987.0,,,345.937,348.6,1.0,2993.0,4.0,22537460.0,2026.0,22501499.0,instances/bms/3000/aaa.txt,2999.0,07-ASP-edge-trendy-usc-3000/bms3000/aaa.txt.lp.log.gz,2.0,1.0,1,2,2.0,3.0,349.9,0.0,opt,49525475.0,4.8,,347.227,23.0,NaN,9014986.0,8997000.0,1.0,0.0,4501500.0,1.0,2998.0,1.0,2998.0,1.0,0.0,1.0
141076.0,1.0,382481.0,2005.0,447020.0,,,3.339,3.5,1.0,601091.0,2702.0,175169.0,2026.0,361689.0,instances/bms/3000/random.txt,4610.0,07-ASP-edge-trendy-usc-3000/bms3000/random.txt.lp.log.gz,57723.0,1.0,1,2150,2150.0,697.0,3.5,0.0,opt,823668.0,0.1,,3.356,0.0,NaN,161867.0,141076.0,54.0,101.0,73538.0,2005.0,2833.0,1904.0,2605.0,1.0,0.0,1366.0
