CPU time,Date,Instance,Log,Obj updates,Obj val,Real time,Result,Sys time,Uptime,Used memory,c 1221   Binary,c 1221   Bounded,c 1221   Choice,c 1221   Conflict,c 1221   Count,c 1221   Executed,c 1221   Loop,c 1221   Minimize,c 1221   Other,c 1221   Ternary,c 1221 Answer,c 1221 Atoms,c 1221 Backjumps,c 1221 Bodies,c 1221 CPU Time,c 1221 Calls,c 1221 Choices,c 1221 Conflicts,c 1221 Constraints,c 1221 Equivalences,c 1221 Lemmas,c 1221 Model-Level,c 1221 Models,c 1221 Optimization,c 1221 Problems,c 1221 Restarts,c 1221 Rules,c 1221 Time,c 1221 Variables,c 1242   Binary,c 1242   Bounded,c 1242   Choice,c 1242   Conflict,c 1242   Count,c 1242   Executed,c 1242   Loop,c 1242   Minimize,c 1242   Other,c 1242   Ternary,c 1242 Answer,c 1242 Atoms,c 1242 Backjumps,c 1242 Bodies,c 1242 CPU Time,c 1242 Calls,c 1242 Choices,c 1242 Conflicts,c 1242 Constraints,c 1242 Equivalences,c 1242 Lemmas,c 1242 Model-Level,c 1242 Models,c 1242 Optimization,c 1242 Problems,c 1242 Restarts,c 1242 Rules,c 1242 Time,c 1242 Variables,c 1261   Binary,c 1261   Bounded,c 1261   Choice,c 1261   Conflict,c 1261   Count,c 1261   Executed,c 1261   Loop,c 1261   Minimize,c 1261   Other,c 1261   Ternary,c 1261 Answer,c 1261 Atoms,c 1261 Backjumps,c 1261 Bodies,c 1261 CPU Time,c 1261 Calls,c 1261 Choices,c 1261 Conflicts,c 1261 Constraints,c 1261 Equivalences,c 1261 Lemmas,c 1261 Model-Level,c 1261 Models,c 1261 Optimization,c 1261 Problems,c 1261 Restarts,c 1261 Rules,c 1261 Time,c 1261 Variables,c 13   Binary,c 13   Bounded,c 13   Choice,c 13   Conflict,c 13   Count,c 13   Executed,c 13   Loop,c 13   Minimize,c 13   Other,c 13   Ternary,c 13 Answer,c 13 Atoms,c 13 Backjumps,c 13 Bodies,c 13 CPU Time,c 13 Calls,c 13 Choices,c 13 Conflicts,c 13 Constraints,c 13 Equivalences,c 13 Lemmas,c 13 Model-Level,c 13 Models,c 13 Optimization,c 13 Problems,c 13 Restarts,c 13 Rules,c 13 Time,c 13 Variables,c 3600   Binary,c 3600   Bounded,c 3600   Choice,c 3600   Conflict,c 3600   Count,c 3600   Executed,c 3600   Loop,c 3600   Minimize,c 3600   Other,c 3600   Ternary,c 3600 Atoms,c 3600 Backjumps,c 3600 Bodies,c 3600 CPU Time,c 3600 Calls,c 3600 Choices,c 3600 Conflicts,c 3600 Constraints,c 3600 Equivalences,c 3600 Lemmas,c 3600 Models,c 3600 Problems,c 3600 Restarts,c 3600 Rules,c 3600 TIME LIMIT,c 3600 Time,c 3600 Variables
3578.6,2026.0,instances/bms10000/paper4.lp,08-ASP-order-trendy-usc-4000/bms10000/paper4.lp.log.gz,0,0,3600.2,unknown,0.8,2.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.0,268.0,480519.0,24499749.0,3843.0,24499481.0,0.0,1.0,0.0,4748.0,4341389.0,24499749.0,3851398.0,3578.46,1.0,82901245.0,24500688.0,1446842.0,3367536.0,24499749.0,0.0,939.0,15410.0,7223860.0,1.0,3600.005,1932824.0
3584.6,2026.0,instances/bms10000/sum.lp,08-ASP-order-trendy-usc-4000/bms10000/sum.lp.log.gz,0,0,3600.3,unknown,3.4,2.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1278.0,705.0,2002497.0,13120036.0,3626.0,13119331.0,0.0,1.0,0.0,13428.0,18036714.0,13120036.0,16025951.0,3584.312,1.0,2148258729.0,13121245.0,10043657.0,14021082.0,13120036.0,0.0,1210.0,12863.0,30049965.0,1.0,3600.006,8018353.0
3581.1,2026.0,instances/bms10000/world192.txt.lp,08-ASP-order-trendy-usc-4000/bms10000/world192.txt.lp.log.gz,0,0,3600.2,unknown,0.7,3.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.0,228.0,403303.0,19261176.0,3875.0,19260948.0,0.0,1.0,0.0,2273.0,3645565.0,19261176.0,3232957.0,3580.986,1.0,32679039.0,19262079.0,1206802.0,2827052.0,19261176.0,0.0,904.0,11056.0,6063996.0,1.0,3600.036,1623068.0
3583.3,2026.0,instances/bms10000/book1.lp,08-ASP-order-trendy-usc-4000/bms10000/book1.lp.log.gz,0,0,3600.1,unknown,0.8,2.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1101.0,514.0,511879.0,3637528.0,3848.0,3637014.0,0.0,1.0,0.0,17728.0,4622579.0,3637528.0,4101310.0,3583.178,1.0,2986755903.0,3638555.0,1535106.0,3587048.0,3637528.0,0.0,1028.0,4226.0,7692237.0,1.0,3600.003,2057220.0
0.1,2026.0,instances/bms10000/asyoulik.txt.lp,08-ASP-order-trendy-usc-4000/bms10000/asyoulik.txt.lp.log.gz,0,0,3600.2,unknown,0.0,2.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.0,267.0,403244.0,27773406.0,3879.0,27773139.0,0.0,1.0,0.0,3050.0,3646025.0,27773406.0,3233158.0,3580.479,1.0,56743995.0,27774362.0,1215779.0,2826659.0,27773406.0,0.0,957.0,12975.0,6064793.0,1.0,3599.999,1623823.0
0.0,2026.0,instances/bms10000/pic.lp,08-ASP-order-trendy-usc-4000/bms10000/pic.lp.log.gz,1,2,1276.2,opt,0.0,2.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8002000.0,0.0,3999.0,0.0,0.0,1.0,0.0,0.0,1.0,72027993.0,0.0,64015994.0,1255.114,1.0,3987.0,3.0,40025980.0,56017999.0,0.0,3988.0,1.0,2.0,3.0,0.0,120031988.0,1261.195,32011993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3579.0,2026.0,instances/bms10000/paper3.lp,08-ASP-order-trendy-usc-4000/bms10000/paper3.lp.log.gz,0,0,3600.1,unknown,1.1,2.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.0,281.0,427958.0,14362500.0,3842.0,14362219.0,0.0,1.0,0.0,7404.0,3867839.0,14362500.0,3430396.0,3578.917,1.0,46007323.0,14363419.0,1283901.0,2999617.0,14362500.0,0.0,920.0,17008.0,6434442.0,1.0,3600.008,1722077.0
1252.6,2026.0,instances/bms10000/ptt5.lp,08-ASP-order-trendy-usc-4000/bms10000/ptt5.lp.log.gz,1,2,1257.0,opt,14.1,2.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8002000.0,0.0,3999.0,0.0,0.0,1.0,0.0,0.0,1.0,72027993.0,0.0,64015994.0,1237.915,1.0,3987.0,3.0,40025980.0,56017999.0,0.0,3988.0,1.0,2.0,3.0,0.0,120031988.0,1242.274,32011993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230.9,2026.0,instances/bms10000/aaa.txt.lp,08-ASP-order-trendy-usc-4000/bms10000/aaa.txt.lp.log.gz,1,2,1236.0,opt,13.7,1.0,NaN,0.0,0.0,8002000.0,0.0,3999.0,0.0,0.0,1.0,0.0,0.0,1.0,72027993.0,0.0,64015994.0,1216.581,1.0,3987.0,3.0,40025980.0,56017999.0,0.0,3988.0,1.0,2.0,3.0,0.0,120031988.0,1221.582,32011993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.4,2026.0,instances/bms10000/random.txt.lp,08-ASP-order-trendy-usc-4000/bms10000/random.txt.lp.log.gz,1,2647,13.5,opt,0.3,1.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.0,162.0,129137.0,21405.0,3877.0,21243.0,0.0,1.0,0.0,1220.0,1.0,1179096.0,21405.0,1039960.0,13.106,1.0,4522414.0,22497.0,312809.0,907958.0,21405.0,94118.0,1.0,2647.0,1092.0,8.0,1952905.0,13.16,527411.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
