Answer,Atoms,Backjumps,Bodies,Bounds LB,Bounds UB,CPU Time,CPU time,Calls,Choices,Conflicts,Constraints,Date,Equivalences,Instance,Lemmas,Log,Model-Level,Models,Obj updates,Obj val,Optimization,Problems,Real time,Restarts,Result,Rules,Sys time,TIME LIMIT,Time,Uptime,Used memory,Variables,c   Binary,c   Bounded,c   Choice,c   Conflict,c   Count,c   Executed,c   Loop,c   Minimize,c   Other,c   Ternary
,73873.0,989039.0,1339866.0,164,*,3585.318,3585.4,1.0,2364945.0,989198.0,5040961.0,2025.0,50352.0,instances/bms/500/bible.txt,1140924.0,500-01-ASP-closure/bms3000/bible.txt.lp.log.gz,,0.0,0,0,,160.0,3600.1,1153.0,unknown,1402987.0,0.3,1.0,3600.037,17.0,NaN,1270525.0,652.0,106.0,10273.0,989039.0,430.0,988933.0,151885.0,1.0,0.0,1565.0
1.0,49171.0,1660186.0,775033.0,,,2229.139,2229.4,1.0,6363564.0,1660300.0,2879148.0,2025.0,32754.0,instances/bms/500/fields.c,3508890.0,500-01-ASP-closure/bms3000/fields.c.lp.log.gz,1911.0,1.0,1,251,251.0,114.0,2240.0,1953.0,opt,817013.0,0.3,,2239.682,18.0,NaN,730390.0,2808.0,35.0,6757.0,1660186.0,392.0,1660151.0,1848704.0,1.0,0.0,3176.0
,63747.0,957409.0,1226803.0,153,*,3583.481,3583.6,1.0,1710324.0,957560.0,4634557.0,2025.0,43146.0,instances/bms/500/grammar.lsp,3131662.0,500-01-ASP-closure/bms3000/grammar.lsp.lp.log.gz,,0.0,0,0,,152.0,3600.1,479.0,unknown,1281243.0,1.1,1.0,3600.014,18.0,NaN,1167448.0,171.0,65.0,8829.0,957409.0,398.0,957344.0,2174253.0,1.0,0.0,782.0
,37420.0,5315687.0,208981.0,3,*,3585.582,3585.6,1.0,22552768.0,5315689.0,675860.0,2025.0,24299.0,instances/bms/500/alphabet.txt,6565646.0,500-01-ASP-closure/bms3000/alphabet.txt.lp.log.gz,,0.0,0,0,,3.0,3600.1,14174.0,unknown,240841.0,0.4,1.0,3600.005,19.0,NaN,176560.0,5.0,0.0,5060.0,5315687.0,500.0,5315687.0,1249959.0,1.0,0.0,1490.0
1.0,46793.0,629204.0,488056.0,,,745.163,745.3,1.0,4331266.0,629326.0,1742301.0,2025.0,31039.0,instances/bms/500/paper4,1065846.0,500-01-ASP-closure/bms3000/paper4.lp.log.gz,2086.0,1.0,1,296,296.0,122.0,749.1,1202.0,opt,528004.0,0.2,,748.929,17.0,NaN,445802.0,3633.0,1828.0,6417.0,629204.0,411.0,627376.0,436642.0,1.0,0.0,5023.0
,526293.0,13270.0,57887929.0,153,*,3571.627,0.1,1.0,4383645.0,13378.0,229165205.0,2025.0,373551.0,instances/bms/500/sum,245252.0,500-01-ASP-closure/bms3000/sum.lp.log.gz,,0.0,0,0,,109.0,3600.6,40.0,unknown,58338946.0,0.0,1.0,3600.005,19.0,NaN,57366297.0,147.0,213.0,74935.0,13270.0,397.0,13057.0,231982.0,1.0,0.0,312.0
,41901.0,6798873.0,353703.0,213,*,3584.528,3584.6,1.0,9542837.0,6798985.0,1230420.0,2025.0,27535.0,instances/bms/500/cp.html,6878032.0,500-01-ASP-closure/bms3000/cp.html.lp.log.gz,,0.0,0,0,,113.0,3600.1,4381.0,unknown,389441.0,0.1,1.0,3600.004,18.0,NaN,316418.0,206.0,67.0,5713.0,6798873.0,413.0,6798806.0,79159.0,1.0,0.0,724.0
1.0,47915.0,438290.0,575041.0,,,969.787,970.1,1.0,3700970.0,438410.0,2084290.0,2025.0,31852.0,instances/bms/500/world192.txt,810999.0,500-01-ASP-closure/bms3000/world192.txt.lp.log.gz,1387.0,1.0,1,253,253.0,120.0,975.1,1013.0,opt,615936.0,0.3,,974.724,17.0,NaN,531261.0,2570.0,584.0,6575.0,438290.0,376.0,437706.0,372709.0,1.0,0.0,3852.0
,465201.0,10097.0,36801156.0,3,*,3586.722,0.0,1.0,174502.0,10101.0,145096728.0,2025.0,330154.0,instances/bms/500/fibonacci.16,34223.0,500-01-ASP-closure/bms3000/fibonacci.16.lp.log.gz,,0.0,0,0,,4.0,3600.3,3.0,unknown,37199626.0,0.0,1.0,3600.004,19.0,NaN,36340538.0,0.0,0.0,66231.0,10097.0,500.0,10097.0,24126.0,1.0,0.0,56.0
,446353.0,12316.0,32659396.0,56,*,3585.572,0.0,1.0,794079.0,12372.0,128617752.0,2025.0,316394.0,instances/bms/500/binary-de-brujin.11,126167.0,500-01-ASP-closure/bms3000/binary-de-brujin.11.lp.log.gz,,0.0,0,0,,57.0,3600.5,14.0,unknown,33041770.0,0.0,1.0,3600.021,17.0,NaN,32218042.0,36.0,85.0,63479.0,12316.0,500.0,12231.0,113851.0,1.0,0.0,507.0
