Acyc-Edges,Answer,Atoms,Backjumps,Bodies,Bounds LB,Bounds UB,CPU Time,CPU time,Calls,Choices,Conflicts,Constraints,Date,Equivalences,Instance,Lemmas,Log,Model-Level,Models,Obj updates,Obj val,Optimization,Problems,Real time,Restarts,Result,Rules,Sys time,TIME LIMIT,Time,Uptime,Used memory,Variables,c   Acyc,c   Binary,c   Bounded,c   Choice,c   Conflict,c   Count,c   Executed,c   Loop,c   Minimize,c   Other,c   Ternary
19546.0,,68614.0,19769186.0,75327.0,167,*,3484.604,3484.7,1.0,33846150.0,19769294.0,55751.0,2025.0,50325.0,instances/bms/500/bible.txt,28600858.0,500-03-ASP-acyclicity/bms3000/bible.txt.lp.log.gz,,0.0,0,0,,109.0,3600.1,17267.0,unknown,143140.0,10.9,1.0,3600.01,11.0,NaN,35317.0,19546.0,248.0,49.0,10273.0,19769186.0,258.0,19769137.0,8831672.0,1.0,0.0,18341.0
12514.0,1.0,50899.0,119414.0,54028.0,,,3.923,4.0,1.0,214184.0,119528.0,44060.0,2025.0,32646.0,instances/bms/500/fields.c,208213.0,500-03-ASP-acyclicity/bms3000/fields.c.lp.log.gz,2443.0,1.0,1,251,251.0,114.0,4.1,16.0,opt,104273.0,0.0,,3.948,11.0,NaN,28204.0,12514.0,39.0,35.0,6757.0,119414.0,136.0,119379.0,88799.0,1.0,0.0,2275.0
16658.0,,61277.0,16259016.0,66662.0,159,*,3583.728,3583.8,1.0,25928979.0,16259113.0,51784.0,2025.0,43074.0,instances/bms/500/grammar.lsp,16677894.0,500-03-ASP-acyclicity/bms3000/grammar.lsp.lp.log.gz,,0.0,0,0,,98.0,3600.2,13745.0,unknown,127173.0,0.2,1.0,3600.039,12.0,NaN,32326.0,16658.0,178.0,49.0,8829.0,16259016.0,202.0,16258967.0,418878.0,1.0,0.0,8381.0
9120.0,,27800.0,28704947.0,28861.0,3,*,3583.339,3583.4,1.0,220160018.0,28704949.0,14660.0,2025.0,24299.0,instances/bms/500/alphabet.txt,57923838.0,500-03-ASP-acyclicity/bms3000/alphabet.txt.lp.log.gz,,0.0,0,0,,3.0,3600.1,61215.0,unknown,55661.0,0.3,1.0,3600.006,12.0,NaN,10120.0,9120.0,16.0,0.0,5060.0,28704947.0,500.0,28704947.0,29218891.0,1.0,0.0,63525.0
11834.0,,34477.0,128808146.0,37265.0,295,*,3584.4,3584.5,1.0,202463089.0,128808266.0,16200.0,2025.0,30958.0,instances/bms/500/paper4,335599503.0,500-03-ASP-acyclicity/bms3000/paper4.lp.log.gz,,0.0,0,0,,121.0,3600.1,78116.0,unknown,70832.0,0.0,1.0,3600.005,12.0,NaN,12798.0,11834.0,99.0,34.0,6417.0,128808146.0,411.0,128808112.0,206791357.0,1.0,0.0,2715.0
148870.0,1.0,391563.0,759863.0,462675.0,,,378.799,379.0,1.0,9122140.0,759914.0,235277.0,2025.0,373443.0,instances/bms/500/sum,18993540.0,500-03-ASP-acyclicity/bms3000/sum.lp.log.gz,1252.0,1.0,1,153,153.0,51.0,380.8,694.0,opt,853444.0,0.1,,380.599,11.0,NaN,164396.0,148870.0,5.0,26.0,74935.0,759863.0,374.0,759837.0,18233677.0,1.0,0.0,17800.0
10426.0,1.0,30987.0,6319358.0,33018.0,,,826.579,826.6,1.0,9065986.0,6319474.0,15560.0,2025.0,27472.0,instances/bms/500/cp.html,7027777.0,500-03-ASP-acyclicity/bms3000/cp.html.lp.log.gz,1953.0,1.0,1,216,216.0,116.0,830.0,4821.0,opt,63069.0,0.1,,829.947,11.0,NaN,11400.0,10426.0,135.0,56.0,5713.0,6319358.0,413.0,6319302.0,708419.0,1.0,0.0,4905.0
12150.0,1.0,49990.0,90196.0,53342.0,,,3.555,3.6,1.0,199809.0,90316.0,44066.0,2025.0,31753.0,instances/bms/500/world192.txt,142174.0,500-03-ASP-acyclicity/bms3000/world192.txt.lp.log.gz,1551.0,1.0,1,253,253.0,120.0,3.7,84.0,opt,102673.0,0.0,,3.576,10.0,NaN,27831.0,12150.0,68.0,36.0,6575.0,90196.0,112.0,90160.0,51978.0,1.0,0.0,2851.0
131462.0,,347751.0,6991907.0,410399.0,4,*,3584.419,3584.5,1.0,48891363.0,6991910.0,223755.0,2025.0,330154.0,instances/bms/500/fibonacci.16,13463892.0,500-03-ASP-acyclicity/bms3000/fibonacci.16.lp.log.gz,,0.0,0,0,,4.0,3600.1,19030.0,unknown,757178.0,0.1,1.0,3599.998,12.0,NaN,146974.0,131462.0,101.0,3.0,66231.0,6991907.0,472.0,6991904.0,6471985.0,1.0,0.0,70457.0
125958.0,,334340.0,8184206.0,393820.0,56,*,3582.897,3583.0,1.0,20744996.0,8184261.0,215413.0,2025.0,316394.0,instances/bms/500/binary-de-brujin.11,143415870.0,500-03-ASP-acyclicity/bms3000/binary-de-brujin.11.lp.log.gz,,0.0,0,0,,56.0,3600.1,4642.0,unknown,727187.0,0.5,1.0,3600.006,11.0,NaN,141403.0,125958.0,188.0,285.0,63479.0,8184206.0,473.0,8183921.0,135231664.0,1.0,0.0,22723.0
12590.0,,51017.0,67675987.0,54461.0,282,*,3586.22,3586.3,1.0,104412545.0,67676095.0,43729.0,2025.0,32879.0,instances/bms/500/book1,210241605.0,500-03-ASP-acyclicity/bms3000/book1.lp.log.gz,,0.0,0,0,,109.0,3600.1,65727.0,unknown,104784.0,0.1,1.0,3600.0,11.0,NaN,28186.0,12590.0,117.0,140.0,6795.0,67675987.0,135.0,67675847.0,142565618.0,1.0,0.0,3241.0
9170.0,,27877.0,51421849.0,29170.0,273,*,3584.123,3584.2,1.0,90019044.0,51421978.0,13030.0,2025.0,24368.0,instances/bms/500/asyoulik.txt,107689980.0,500-03-ASP-acyclicity/bms3000/asyoulik.txt.lp.log.gz,,0.0,0,0,,129.0,3600.2,57523.0,unknown,56087.0,0.2,1.0,3600.042,11.0,NaN,10154.0,9170.0,373.0,75.0,5085.0,51421849.0,415.0,51421774.0,56268131.0,1.0,0.0,11045.0
249500.0,1.0,643645.0,37.0,764896.0,,,6.034,6.2,1.0,96.0,39.0,401305.0,2025.0,625249.0,instances/bms/500/pic,542.0,500-03-ASP-acyclicity/bms3000/pic.lp.log.gz,9.0,1.0,1,2,2.0,2.0,6.3,0.0,opt,1407556.0,0.2,,6.062,12.0,NaN,265395.0,249500.0,0.0,0.0,125250.0,37.0,485.0,37.0,505.0,1.0,0.0,6.0
