CPU time,Date,Instance,Log,Obj updates,Obj val,Real time,Result,Sys time,Uptime,Used memory,c 1358   Acyc,c 1358   Binary,c 1358   Bounded,c 1358   Choice,c 1358   Conflict,c 1358   Count,c 1358   Executed,c 1358   Loop,c 1358   Minimize,c 1358   Other,c 1358   Ternary,c 1358 Acyc-Edges,c 1358 Answer,c 1358 Atoms,c 1358 Backjumps,c 1358 Bodies,c 1358 CPU Time,c 1358 Calls,c 1358 Choices,c 1358 Conflicts,c 1358 Constraints,c 1358 Equivalences,c 1358 Lemmas,c 1358 Model-Level,c 1358 Models,c 1358 Optimization,c 1358 Problems,c 1358 Restarts,c 1358 Rules,c 1358 Time,c 1358 Variables,c 1547 Answer,c 1547 Optimization,c 1548   Acyc,c 1548   Binary,c 1548   Bounded,c 1548   Choice,c 1548   Conflict,c 1548   Count,c 1548   Executed,c 1548   Loop,c 1548   Minimize,c 1548   Other,c 1548   Ternary,c 1548 Acyc-Edges,c 1548 Atoms,c 1548 Backjumps,c 1548 Bodies,c 1548 CPU Time,c 1548 Calls,c 1548 Choices,c 1548 Conflicts,c 1548 Constraints,c 1548 Equivalences,c 1548 Lemmas,c 1548 Model-Level,c 1548 Models,c 1548 Optimization,c 1548 Problems,c 1548 Restarts,c 1548 Rules,c 1548 Time,c 1548 Variables,c 1716   Acyc,c 1716   Binary,c 1716   Bounded,c 1716   Choice,c 1716   Conflict,c 1716   Count,c 1716   Executed,c 1716   Loop,c 1716   Minimize,c 1716   Other,c 1716   Ternary,c 1716 Acyc-Edges,c 1716 Answer,c 1716 Atoms,c 1716 Backjumps,c 1716 Bodies,c 1716 CPU Time,c 1716 Calls,c 1716 Choices,c 1716 Conflicts,c 1716 Constraints,c 1716 Equivalences,c 1716 Lemmas,c 1716 Model-Level,c 1716 Models,c 1716 Optimization,c 1716 Problems,c 1716 Restarts,c 1716 Rules,c 1716 Time,c 1716 Variables,c 35   Acyc,c 35   Binary,c 35   Bounded,c 35   Choice,c 35   Conflict,c 35   Count,c 35   Executed,c 35   Loop,c 35   Minimize,c 35   Other,c 35   Ternary,c 35 Acyc-Edges,c 35 Answer,c 35 Atoms,c 35 Backjumps,c 35 Bodies,c 35 CPU Time,c 35 Calls,c 35 Choices,c 35 Conflicts,c 35 Constraints,c 35 Equivalences,c 35 Lemmas,c 35 Model-Level,c 35 Models,c 35 Optimization,c 35 Problems,c 35 Restarts,c 35 Rules,c 35 Time,c 35 Variables,c 3600   Acyc,c 3600   Binary,c 3600   Bounded,c 3600   Choice,c 3600   Conflict,c 3600   Count,c 3600   Executed,c 3600   Loop,c 3600   Minimize,c 3600   Other,c 3600   Ternary,c 3600 Acyc-Edges,c 3600 Atoms,c 3600 Backjumps,c 3600 Bodies,c 3600 CPU Time,c 3600 Calls,c 3600 Choices,c 3600 Conflicts,c 3600 Constraints,c 3600 Equivalences,c 3600 Lemmas,c 3600 Models,c 3600 Problems,c 3600 Restarts,c 3600 Rules,c 3600 TIME LIMIT,c 3600 Time,c 3600 Variables
3577.9,2026.0,instances/bms10000/paper4.lp,09-ASP-edge-trendy-usc-5000/bms10000/paper4.lp.log.gz,0,0,3600.2,unknown,0.8,9.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1536668.0,276.0,137.0,773334.0,12215144.0,4844.0,12215007.0,5080945.0,1.0,0.0,7597.0,1536668.0,3886463.0,12215144.0,4640431.0,3577.832,1.0,22809130.0,12216187.0,2319589.0,3856607.0,17296089.0,0.0,1044.0,9161.0,8516979.0,1.0,3600.007,1561497.0
3580.5,2026.0,instances/bms10000/sum.lp,09-ASP-edge-trendy-usc-5000/bms10000/sum.lp.log.gz,0,0,3600.1,unknown,2.5,9.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4874506.0,1051.0,874.0,2442253.0,14594142.0,4627.0,14593268.0,14942529.0,1.0,0.0,39382.0,4874506.0,12229828.0,14594142.0,14653905.0,3580.371,1.0,292774186.0,14595626.0,12244290.0,12200962.0,29536671.0,0.0,1485.0,17953.0,26873944.0,1.0,3600.001,4898237.0
3578.8,2026.0,instances/bms10000/world192.txt.lp,09-ASP-edge-trendy-usc-5000/bms10000/world192.txt.lp.log.gz,0,0,3600.1,unknown,0.7,9.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1264352.0,185.0,72.0,637176.0,11230303.0,4896.0,11230231.0,23829.0,1.0,0.0,3948.0,1264352.0,3205790.0,11230303.0,3823493.0,3578.693,1.0,16631583.0,11231359.0,1907766.0,3175845.0,11254132.0,0.0,1057.0,7876.0,7019341.0,1.0,3599.997,1289282.0
3580.4,2026.0,instances/bms10000/book1.lp,09-ASP-edge-trendy-usc-5000/bms10000/book1.lp.log.gz,0,0,3600.2,unknown,0.9,9.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1601618.0,688.0,825.0,805809.0,31038349.0,4855.0,31037524.0,32001517.0,1.0,0.0,10299.0,1601618.0,4048907.0,31038349.0,4835288.0,3580.252,1.0,76852309.0,31039770.0,4064377.0,4018953.0,63039866.0,0.0,1422.0,16267.0,8874279.0,1.0,3600.003,1626530.0
3580.3,2026.0,instances/bms10000/asyoulik.txt.lp,09-ASP-edge-trendy-usc-5000/bms10000/asyoulik.txt.lp.log.gz,0,0,3600.2,unknown,0.6,9.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1272196.0,208.0,337.0,641098.0,40668141.0,4869.0,40667804.0,27904850.0,1.0,0.0,16048.0,1272196.0,3224899.0,40668141.0,3846554.0,3580.134,1.0,73676543.0,40669280.0,1921138.0,3195475.0,68572991.0,0.0,1139.0,21669.0,7061516.0,1.0,3599.997,1296613.0
1718.8,2026.0,instances/bms10000/pic.lp,09-ASP-edge-trendy-usc-5000/bms10000/pic.lp.log.gz,1,4,1724.9,opt,13.0,8.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24985002.0,1.0,1.0,12497501.0,1.0,4998.0,0.0,4255.0,1.0,0.0,1.0,24985002.0,1.0,62502493.0,1.0,74979995.0,1710.903,1.0,12151.0,5.0,62507476.0,62477501.0,4256.0,8646.0,1.0,4.0,4.0,0.0,137472492.0,1716.908,25004992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3579.1,2026.0,instances/bms10000/paper3.lp,09-ASP-edge-trendy-usc-5000/bms10000/paper3.lp.log.gz,0,0,3600.1,unknown,0.7,9.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1359646.0,585.0,502.0,684823.0,15127371.0,4853.0,15126869.0,4974761.0,1.0,0.0,45954.0,1359646.0,3443632.0,15127371.0,4109001.0,3578.961,1.0,153014737.0,15128513.0,2049023.0,3414037.0,20102132.0,0.0,1143.0,13355.0,7542732.0,1.0,3600.002,1384205.0
1550.7,2026.0,instances/bms10000/ptt5.lp,09-ASP-edge-trendy-usc-5000/bms10000/ptt5.lp.log.gz,1,4,1555.7,opt,12.9,8.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,24985002.0,1.0,1.0,12497501.0,1.0,4998.0,0.0,4255.0,1.0,0.0,1.0,24985002.0,62502493.0,1.0,74979995.0,1543.038,1.0,12151.0,5.0,62507476.0,62477501.0,4256.0,8646.0,1.0,4.0,4.0,0.0,137472492.0,1547.95,25004992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1359.4,2026.0,instances/bms10000/aaa.txt.lp,09-ASP-edge-trendy-usc-5000/bms10000/aaa.txt.lp.log.gz,1,2,1366.0,opt,12.9,8.0,NaN,24995000.0,1.0,0.0,12502500.0,1.0,4999.0,1.0,4998.0,1.0,0.0,1.0,24995000.0,1.0,62527493.0,1.0,75009994.0,1351.837,1.0,4983.0,4.0,62532480.0,62502499.0,4999.0,2.0,1.0,2.0,3.0,0.0,137527488.0,1358.356,25014993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.1,2026.0,instances/bms10000/random.txt.lp,09-ASP-edge-trendy-usc-5000/bms10000/random.txt.lp.log.gz,1,3114,35.4,opt,0.3,8.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390852.0,336.0,251.0,200426.0,86174.0,4903.0,85923.0,14856.0,1.0,0.0,4702.0,390852.0,1.0,1021877.0,86174.0,1202304.0,34.811,1.0,7359670.0,87714.0,500046.0,992129.0,101030.0,130920.0,1.0,3114.0,1540.0,24.0,2214278.0,35.004,415599.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
