CPU time,Date,Instance,Log,Obj updates,Obj val,Real time,Result,Sys time,Uptime,Used memory,c 2266   Binary,c 2266   Bounded,c 2266   Choice,c 2266   Conflict,c 2266   Count,c 2266   Executed,c 2266   Loop,c 2266   Minimize,c 2266   Other,c 2266   Ternary,c 2266 Answer,c 2266 Atoms,c 2266 Backjumps,c 2266 Bodies,c 2266 CPU Time,c 2266 Calls,c 2266 Choices,c 2266 Conflicts,c 2266 Constraints,c 2266 Equivalences,c 2266 Lemmas,c 2266 Model-Level,c 2266 Models,c 2266 Optimization,c 2266 Problems,c 2266 Restarts,c 2266 Rules,c 2266 Time,c 2266 Variables,c 2318   Binary,c 2318   Bounded,c 2318   Choice,c 2318   Conflict,c 2318   Count,c 2318   Executed,c 2318   Loop,c 2318   Minimize,c 2318   Other,c 2318   Ternary,c 2318 Answer,c 2318 Atoms,c 2318 Backjumps,c 2318 Bodies,c 2318 CPU Time,c 2318 Calls,c 2318 Choices,c 2318 Conflicts,c 2318 Constraints,c 2318 Equivalences,c 2318 Lemmas,c 2318 Model-Level,c 2318 Models,c 2318 Optimization,c 2318 Problems,c 2318 Restarts,c 2318 Rules,c 2318 Time,c 2318 Variables,c 24   Binary,c 24   Bounded,c 24   Choice,c 24   Conflict,c 24   Count,c 24   Executed,c 24   Loop,c 24   Minimize,c 24   Other,c 24   Ternary,c 24 Answer,c 24 Atoms,c 24 Backjumps,c 24 Bodies,c 24 CPU Time,c 24 Calls,c 24 Choices,c 24 Conflicts,c 24 Constraints,c 24 Equivalences,c 24 Lemmas,c 24 Model-Level,c 24 Models,c 24 Optimization,c 24 Problems,c 24 Restarts,c 24 Rules,c 24 Time,c 24 Variables,c 3600   Binary,c 3600   Bounded,c 3600   Choice,c 3600   Conflict,c 3600   Count,c 3600   Executed,c 3600   Loop,c 3600   Minimize,c 3600   Other,c 3600   Ternary,c 3600 Atoms,c 3600 Backjumps,c 3600 Bodies,c 3600 CPU Time,c 3600 Calls,c 3600 Choices,c 3600 Conflicts,c 3600 Constraints,c 3600 Equivalences,c 3600 Lemmas,c 3600 Models,c 3600 Problems,c 3600 Restarts,c 3600 Rules,c 3600 TIME LIMIT,c 3600 Time,c 3600 Variables
3581.3,2026.0,instances/bms10000/paper4.lp,09-ASP-order-trendy-usc-5000/bms10000/paper4.lp.log.gz,0,0,3600.2,unknown,1.4,9.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.0,350.0,773334.0,17499744.0,4844.0,17499394.0,0.0,1.0,0.0,2653.0,6974789.0,17499744.0,6192069.0,3581.103,1.0,50191861.0,17500830.0,2319589.0,5418241.0,17499744.0,0.0,1087.0,9532.0,11610295.0,1.0,3600.005,3103147.0
3580.7,2026.0,instances/bms10000/sum.lp,09-ASP-order-trendy-usc-5000/bms10000/sum.lp.log.gz,0,0,3600.5,unknown,4.4,10.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1543.0,876.0,2442253.0,12893552.0,4627.0,12892676.0,0.0,1.0,0.0,13691.0,21993806.0,12893552.0,19543309.0,3580.278,1.0,1915721629.0,12895036.0,12244290.0,17100398.0,12893552.0,0.0,1485.0,10066.0,36642888.0,1.0,3600.006,9777659.0
3564.8,2026.0,instances/bms10000/world192.txt.lp,09-ASP-order-trendy-usc-5000/bms10000/world192.txt.lp.log.gz,0,0,3600.2,unknown,2.5,10.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.0,261.0,637176.0,11682054.0,4896.0,11681793.0,0.0,1.0,0.0,2993.0,5749488.0,11682054.0,5102827.0,3564.672,1.0,31197151.0,11683160.0,1907766.0,4465175.0,11682054.0,0.0,1107.0,7352.0,9568033.0,1.0,3600.006,2558624.0
3585.4,2026.0,instances/bms10000/book1.lp,09-ASP-order-trendy-usc-5000/bms10000/book1.lp.log.gz,0,0,3600.1,unknown,1.3,9.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,989.0,1085.0,805809.0,27596731.0,4855.0,27595646.0,0.0,1.0,0.0,3177.0,7267134.0,27596731.0,6451879.0,3585.331,1.0,133548065.0,27598157.0,4064377.0,5645558.0,27596731.0,0.0,1427.0,15249.0,12097497.0,1.0,3599.997,3233123.0
3582.9,2026.0,instances/bms10000/asyoulik.txt.lp,09-ASP-order-trendy-usc-5000/bms10000/asyoulik.txt.lp.log.gz,0,0,3600.1,unknown,1.0,9.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.0,335.0,641098.0,35647415.0,4869.0,35647080.0,0.0,1.0,0.0,2334.0,5784289.0,35647415.0,5133744.0,3582.787,1.0,101000712.0,35648557.0,1921138.0,4492665.0,35647415.0,0.0,1142.0,21470.0,9625904.0,1.0,3600.0,2573805.0
2330.8,2026.0,instances/bms10000/pic.lp,09-ASP-order-trendy-usc-5000/bms10000/pic.lp.log.gz,1,4,2341.1,opt,22.1,9.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,12497501.0,1.0,4998.0,0.0,0.0,1.0,0.0,0.0,1.0,112487496.0,1.0,99979994.0,2308.175,1.0,13206.0,5.0,62507476.0,87487498.0,1.0,9701.0,1.0,4.0,4.0,0.0,187462494.0,2318.317,49994993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3580.8,2026.0,instances/bms10000/paper3.lp,09-ASP-order-trendy-usc-5000/bms10000/paper3.lp.log.gz,0,0,3600.1,unknown,1.1,9.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559.0,456.0,684823.0,13933441.0,4853.0,13932985.0,0.0,1.0,0.0,10047.0,6177917.0,13933441.0,5483626.0,3580.697,1.0,169315778.0,13934583.0,2049023.0,4798676.0,13933441.0,0.0,1142.0,16637.0,10282010.0,1.0,3600.0,2748830.0
2279.1,2026.0,instances/bms10000/ptt5.lp,09-ASP-order-trendy-usc-5000/bms10000/ptt5.lp.log.gz,1,4,2289.4,opt,28.6,9.0,NaN,1.0,1.0,12497501.0,1.0,4998.0,0.0,0.0,1.0,0.0,0.0,1.0,112487496.0,1.0,99979994.0,2256.141,1.0,13206.0,5.0,62507476.0,87487498.0,1.0,9701.0,1.0,4.0,4.0,0.0,187462494.0,2266.276,49994993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2283.6,2026.0,instances/bms10000/aaa.txt.lp,09-ASP-order-trendy-usc-5000/bms10000/aaa.txt.lp.log.gz,1,2,2342.2,opt,27.5,8.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12502500.0,0.0,4999.0,0.0,0.0,1.0,0.0,0.0,1.0,112532493.0,0.0,100019994.0,2260.521,1.0,4985.0,3.0,62532480.0,87522499.0,0.0,4986.0,1.0,2.0,3.0,0.0,187537488.0,2318.344,50014993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.6,2026.0,instances/bms10000/random.txt.lp,09-ASP-order-trendy-usc-5000/bms10000/random.txt.lp.log.gz,1,3114,24.8,opt,0.4,9.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.0,251.0,200426.0,25577.0,4903.0,25326.0,0.0,1.0,0.0,1667.0,1.0,1818581.0,25577.0,1608156.0,24.084,1.0,8286164.0,27117.0,500046.0,1407981.0,25577.0,133929.0,1.0,3114.0,1540.0,25.0,3015982.0,24.184,811451.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
