CPU time,Date,Instance,Log,Obj updates,Obj val,Real time,Result,Sys time,Uptime,Used memory,c 2216   Acyc,c 2216   Binary,c 2216   Bounded,c 2216   Choice,c 2216   Conflict,c 2216   Count,c 2216   Executed,c 2216   Loop,c 2216   Minimize,c 2216   Other,c 2216   Ternary,c 2216 Acyc-Edges,c 2216 Answer,c 2216 Atoms,c 2216 Backjumps,c 2216 Bodies,c 2216 CPU Time,c 2216 Calls,c 2216 Choices,c 2216 Conflicts,c 2216 Constraints,c 2216 Equivalences,c 2216 Lemmas,c 2216 Model-Level,c 2216 Models,c 2216 Optimization,c 2216 Problems,c 2216 Restarts,c 2216 Rules,c 2216 Time,c 2216 Variables,c 2250   Acyc,c 2250   Binary,c 2250   Bounded,c 2250   Choice,c 2250   Conflict,c 2250   Count,c 2250   Executed,c 2250   Loop,c 2250   Minimize,c 2250   Other,c 2250   Ternary,c 2250 Acyc-Edges,c 2250 Answer,c 2250 Atoms,c 2250 Backjumps,c 2250 Bodies,c 2250 CPU Time,c 2250 Calls,c 2250 Choices,c 2250 Conflicts,c 2250 Constraints,c 2250 Equivalences,c 2250 Lemmas,c 2250 Model-Level,c 2250 Models,c 2250 Optimization,c 2250 Problems,c 2250 Restarts,c 2250 Rules,c 2250 Time,c 2250 Variables,c 2503 Answer,c 2503 Optimization,c 2504   Acyc,c 2504   Binary,c 2504   Bounded,c 2504   Choice,c 2504   Conflict,c 2504   Count,c 2504   Executed,c 2504   Loop,c 2504   Minimize,c 2504   Other,c 2504   Ternary,c 2504 Acyc-Edges,c 2504 Atoms,c 2504 Backjumps,c 2504 Bodies,c 2504 CPU Time,c 2504 Calls,c 2504 Choices,c 2504 Conflicts,c 2504 Constraints,c 2504 Equivalences,c 2504 Lemmas,c 2504 Model-Level,c 2504 Models,c 2504 Optimization,c 2504 Problems,c 2504 Restarts,c 2504 Rules,c 2504 Time,c 2504 Variables,c 3600   Acyc,c 3600   Binary,c 3600   Bounded,c 3600   Choice,c 3600   Conflict,c 3600   Count,c 3600   Executed,c 3600   Loop,c 3600   Minimize,c 3600   Other,c 3600   Ternary,c 3600 Acyc-Edges,c 3600 Atoms,c 3600 Backjumps,c 3600 Bodies,c 3600 CPU Time,c 3600 Calls,c 3600 Choices,c 3600 Conflicts,c 3600 Constraints,c 3600 Equivalences,c 3600 Lemmas,c 3600 Models,c 3600 Problems,c 3600 Restarts,c 3600 Rules,c 3600 TIME LIMIT,c 3600 Time,c 3600 Variables,c 51   Acyc,c 51   Binary,c 51   Bounded,c 51   Choice,c 51   Conflict,c 51   Count,c 51   Executed,c 51   Loop,c 51   Minimize,c 51   Other,c 51   Ternary,c 51 Acyc-Edges,c 51 Answer,c 51 Atoms,c 51 Backjumps,c 51 Bodies,c 51 CPU Time,c 51 Calls,c 51 Choices,c 51 Conflicts,c 51 Constraints,c 51 Equivalences,c 51 Lemmas,c 51 Model-Level,c 51 Models,c 51 Optimization,c 51 Problems,c 51 Restarts,c 51 Rules,c 51 Time,c 51 Variables
3582.2,2026.0,instances/bms10000/paper4.lp,10-ASP-edge-trendy-usc-6000/bms10000/paper4.lp.log.gz,0,0,3600.1,unknown,1.0,3.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250176.0,767.0,961.0,1131088.0,17781797.0,5865.0,17780836.0,11192502.0,1.0,0.0,22793.0,2250176.0,5673874.0,17781797.0,6783514.0,3582.09,1.0,78597498.0,17783210.0,5687412.0,5643388.0,28974299.0,0.0,1414.0,11061.0,12445456.0,1.0,3600.018,2276640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3581.3,2026.0,instances/bms10000/sum.lp,10-ASP-edge-trendy-usc-6000/bms10000/sum.lp.log.gz,0,0,3600.2,unknown,2.9,3.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5883838.0,637.0,599.0,2947919.0,11552217.0,5657.0,11551618.0,281727.0,1.0,0.0,7481.0,5883838.0,14753828.0,11552217.0,17681251.0,3581.099,1.0,58704055.0,11553969.0,14760226.0,14727340.0,11833944.0,0.0,1753.0,6148.0,32423254.0,1.0,3600.006,5906211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3579.7,2026.0,instances/bms10000/world192.txt.lp,10-ASP-edge-trendy-usc-6000/bms10000/world192.txt.lp.log.gz,0,0,3600.1,unknown,0.9,3.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1732294.0,807.0,774.0,872147.0,11482242.0,5923.0,11481468.0,681323.0,1.0,0.0,21543.0,1732294.0,4379493.0,11482242.0,5229953.0,3579.547,1.0,56757889.0,11483818.0,4393409.0,4348700.0,12163565.0,0.0,1577.0,7624.0,9597500.0,1.0,3600.002,1759072.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3581.9,2026.0,instances/bms10000/book1.lp,10-ASP-edge-trendy-usc-6000/bms10000/book1.lp.log.gz,0,0,3600.2,unknown,1.3,3.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2290104.0,1027.0,1220.0,1151052.0,22828231.0,5857.0,22827011.0,31604474.0,1.0,0.0,16845.0,2290104.0,5773885.0,22828231.0,6903688.0,3581.702,1.0,109201363.0,22829886.0,5788031.0,5743184.0,54432705.0,0.0,1656.0,13932.0,12665644.0,1.0,3599.997,2316771.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,2026.0,instances/bms10000/asyoulik.txt.lp,10-ASP-edge-trendy-usc-6000/bms10000/asyoulik.txt.lp.log.gz,0,0,3600.1,unknown,0.0,3.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1858202.0,1014.0,1108.0,935101.0,34011245.0,5886.0,34010137.0,31388292.0,1.0,0.0,24192.0,1858202.0,4694409.0,34011245.0,5608045.0,3585.062,1.0,96201778.0,34012769.0,4708809.0,4663498.0,65399537.0,0.0,1525.0,17952.0,10290506.0,1.0,3599.997,1885110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,2026.0,instances/bms10000/pic.lp,10-ASP-edge-trendy-usc-6000/bms10000/pic.lp.log.gz,1,4,2231.2,opt,0.0,3.0,NaN,35982002.0,1.0,1.0,17997001.0,1.0,5998.0,0.0,4255.0,1.0,0.0,1.0,35982002.0,1.0,90000993.0,1.0,107975995.0,2206.274,1.0,10709.0,5.0,90008976.0,89973001.0,4256.0,8204.0,1.0,4.0,4.0,0.0,197964992.0,2216.654,36005992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3577.9,2026.0,instances/bms10000/paper3.lp,10-ASP-edge-trendy-usc-6000/bms10000/paper3.lp.log.gz,0,0,3600.2,unknown,1.0,3.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919932.0,786.0,752.0,965966.0,17204511.0,5889.0,17203759.0,9874381.0,1.0,0.0,16852.0,1919932.0,4848439.0,17204511.0,5792694.0,3577.706,1.0,43572064.0,17206010.0,4862077.0,4817776.0,27078892.0,0.0,1499.0,11824.0,10629212.0,1.0,3600.017,1946571.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505.4,2026.0,instances/bms10000/ptt5.lp,10-ASP-edge-trendy-usc-6000/bms10000/ptt5.lp.log.gz,1,4,2515.6,opt,31.4,3.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,35982002.0,1.0,1.0,17997001.0,1.0,5998.0,0.0,4255.0,1.0,0.0,1.0,35982002.0,90000993.0,1.0,107975995.0,2493.948,1.0,10709.0,5.0,90008976.0,89973001.0,4256.0,8204.0,1.0,4.0,4.0,0.0,197964992.0,2504.067,36005992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2253.8,2026.0,instances/bms10000/aaa.txt.lp,10-ASP-edge-trendy-usc-6000/bms10000/aaa.txt.lp.log.gz,1,2,2261.3,opt,18.9,2.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35994000.0,1.0,0.0,18003000.0,1.0,5999.0,1.0,5998.0,1.0,0.0,1.0,35994000.0,1.0,90030993.0,1.0,108011994.0,2243.236,1.0,5984.0,4.0,90038980.0,90002999.0,5999.0,2.0,1.0,2.0,3.0,0.0,198030988.0,2250.603,36017993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.9,2026.0,instances/bms10000/random.txt.lp,10-ASP-edge-trendy-usc-6000/bms10000/random.txt.lp.log.gz,1,3550,52.2,opt,0.3,2.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563100.0,617.0,294.0,287550.0,83992.0,5920.0,83698.0,21485.0,1.0,0.0,7007.0,563100.0,1.0,1456544.0,83992.0,1722095.0,51.45,1.0,8581512.0,86079.0,746568.0,1425749.0,105477.0,161522.0,1.0,3550.0,2087.0,47.0,3166719.0,51.741,589894.0
