CPU time,Date,Instance,Log,Obj updates,Obj val,Real time,Result,Sys time,Uptime,Used memory,c 36   Binary,c 36   Bounded,c 36   Choice,c 36   Conflict,c 36   Count,c 36   Executed,c 36   Loop,c 36   Minimize,c 36   Other,c 36   Ternary,c 36 Answer,c 36 Atoms,c 36 Backjumps,c 36 Bodies,c 36 CPU Time,c 36 Calls,c 36 Choices,c 36 Conflicts,c 36 Constraints,c 36 Equivalences,c 36 Lemmas,c 36 Model-Level,c 36 Models,c 36 Optimization,c 36 Problems,c 36 Restarts,c 36 Rules,c 36 Time,c 36 Variables,c 3600   Binary,c 3600   Bounded,c 3600   Choice,c 3600   Conflict,c 3600   Count,c 3600   Executed,c 3600   Loop,c 3600   Minimize,c 3600   Other,c 3600   Ternary,c 3600 Atoms,c 3600 Backjumps,c 3600 Bodies,c 3600 CPU Time,c 3600 Calls,c 3600 Choices,c 3600 Conflicts,c 3600 Constraints,c 3600 Equivalences,c 3600 Lemmas,c 3600 Models,c 3600 Problems,c 3600 Restarts,c 3600 Rules,c 3600 TIME LIMIT,c 3600 Time,c 3600 Variables
3580.9,2026.0,instances/bms10000/paper4.lp,10-ASP-order-trendy-usc-6000/bms10000/paper4.lp.log.gz,0,0,3600.2,unknown,1.9,4.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1362.0,1220.0,1131088.0,10086090.0,5865.0,10084870.0,0.0,1.0,0.0,10049.0,10192217.0,10086090.0,9051663.0,3580.761,1.0,188257038.0,10087516.0,5687412.0,7923531.0,10086090.0,0.0,1427.0,11004.0,16969790.0,1.0,3600.001,4532801.0
3581.5,2026.0,instances/bms10000/sum.lp,10-ASP-order-trendy-usc-6000/bms10000/sum.lp.log.gz,0,0,3600.3,unknown,5.2,4.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818.0,856.0,2947919.0,10388252.0,5657.0,10387396.0,0.0,1.0,0.0,2638.0,26539478.0,10388252.0,23583011.0,3581.175,1.0,77420931.0,10389994.0,14760226.0,20641136.0,10388252.0,0.0,1743.0,9813.0,44214878.0,1.0,3600.001,11795979.0
3581.5,2026.0,instances/bms10000/world192.txt.lp,10-ASP-order-trendy-usc-6000/bms10000/world192.txt.lp.log.gz,0,0,3600.2,unknown,1.5,4.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525.0,553.0,872147.0,18668326.0,5923.0,18667773.0,0.0,1.0,0.0,1637.0,7862075.0,18668326.0,6980229.0,3581.32,1.0,32616613.0,18669787.0,4393409.0,6110972.0,18668326.0,0.0,1462.0,11760.0,13086076.0,1.0,3600.014,3497356.0
3579.0,2026.0,instances/bms10000/book1.lp,10-ASP-order-trendy-usc-6000/bms10000/book1.lp.log.gz,0,0,3600.2,unknown,2.0,3.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1286.0,1485.0,1151052.0,30493221.0,5857.0,30491736.0,0.0,1.0,0.0,6622.0,10372084.0,30493221.0,9211765.0,3578.868,1.0,575469714.0,30494876.0,5788031.0,8063267.0,30493221.0,0.0,1656.0,14346.0,17269834.0,1.0,3600.034,4612854.0
0.1,2026.0,instances/bms10000/asyoulik.txt.lp,10-ASP-order-trendy-usc-6000/bms10000/asyoulik.txt.lp.log.gz,0,0,3600.1,unknown,0.0,3.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1324.0,1271.0,935101.0,22200572.0,5886.0,22199301.0,0.0,1.0,0.0,10708.0,8428811.0,22200572.0,7484241.0,3580.24,1.0,257994267.0,22202116.0,4708809.0,6551690.0,22200572.0,0.0,1544.0,12560.0,14030906.0,1.0,3600.003,3749310.0
3568.8,2026.0,instances/bms10000/pic.lp,10-ASP-order-trendy-usc-6000/bms10000/pic.lp.log.gz,0,0,3603.2,unknown,42.4,4.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,3565.853,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,3600.141,71993993.0
3581.4,2026.0,instances/bms10000/paper3.lp,10-ASP-order-trendy-usc-6000/bms10000/paper3.lp.log.gz,0,0,3600.2,unknown,1.6,3.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1294.0,1170.0,965966.0,13626254.0,5889.0,13625084.0,0.0,1.0,0.0,8762.0,8706296.0,13626254.0,7730605.0,3581.275,1.0,162464845.0,13627785.0,4862077.0,6767689.0,13626254.0,0.0,1531.0,11148.0,14493062.0,1.0,3600.016,3872488.0
3565.3,2026.0,instances/bms10000/ptt5.lp,10-ASP-order-trendy-usc-6000/bms10000/ptt5.lp.log.gz,0,0,3602.6,unknown,43.5,4.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,17997001.0,0.0,5998.0,0.0,0.0,1.0,0.0,0.0,161982996.0,0.0,143975994.0,3562.831,1.0,0.0,0.0,0.0,125984998.0,0.0,0.0,0.0,0.0,269952994.0,1.0,3600.004,71993993.0
3584.8,2026.0,instances/bms10000/aaa.txt.lp,10-ASP-order-trendy-usc-6000/bms10000/aaa.txt.lp.log.gz,0,0,3602.4,unknown,41.3,3.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,3582.414,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,3600.01,72017993.0
36.7,2026.0,instances/bms10000/random.txt.lp,10-ASP-order-trendy-usc-6000/bms10000/random.txt.lp.log.gz,1,3550,36.9,opt,0.6,3.0,NaN,598.0,325.0,287550.0,39220.0,5920.0,38895.0,0.0,1.0,0.0,2227.0,1.0,2600744.0,39220.0,2303195.0,36.055,1.0,14951033.0,41307.0,746568.0,2018849.0,39220.0,155702.0,1.0,3550.0,2087.0,18.0,4316919.0,36.21,1158994.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3580.3,2026.0,instances/bms10000/paper2.lp,10-ASP-order-trendy-usc-6000/bms10000/paper2.lp.log.gz,0,0,3600.1,unknown,1.8,3.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1312.0,1361.0,1066013.0,11126324.0,5838.0,11124963.0,0.0,1.0,0.0,12333.0,9606613.0,11126324.0,8531233.0,3580.239,1.0,412046063.0,11127906.0,5362428.0,7467974.0,11126324.0,0.0,1583.0,8559.0,15993941.0,1.0,3600.018,4272584.0
0.1,2026.0,instances/bms10000/pi.txt.lp,10-ASP-order-trendy-usc-6000/bms10000/pi.txt.lp.log.gz,0,0,3600.3,unknown,0.0,4.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1244.0,1331.0,1805416.0,103719.0,5988.0,102388.0,0.0,1.0,0.0,6714.0,16261222.0,103719.0,14445807.0,3583.306,1.0,1523583563.0,105441.0,9058526.0,12643911.0,103719.0,0.0,1723.0,496.0,27084209.0,1.0,3600.002,7230142.0
