CPU time,Date,Instance,Log,Obj updates,Obj val,Real time,Result,Sys time,Uptime,Used memory,c 3600   Binary,c 3600   Bounded,c 3600   Choice,c 3600   Conflict,c 3600   Count,c 3600   Executed,c 3600   Loop,c 3600   Minimize,c 3600   Other,c 3600   Ternary,c 3600 Atoms,c 3600 Backjumps,c 3600 Bodies,c 3600 CPU Time,c 3600 Calls,c 3600 Choices,c 3600 Conflicts,c 3600 Constraints,c 3600 Equivalences,c 3600 Lemmas,c 3600 Models,c 3600 Problems,c 3600 Restarts,c 3600 Rules,c 3600 TIME LIMIT,c 3600 Time,c 3600 Variables
3578.4,2026.0,instances/bms10000/paper4.lp,11-ASP-order-trendy-usc-7000/bms10000/paper4.lp.log.gz,0,0,3600.3,unknown,3.4,11.0,NaN,1103.0,1295.0,1538380.0,13554582.0,6879.0,13553287.0,0.0,1.0,0.0,6042.0,13856174.0,13554582.0,12308265.0,3578.117,1.0,185977059.0,13556215.0,7722795.0,10775567.0,13554582.0,0.0,1633.0,8049.0,23073768.0,1.0,3599.997,6161298.0
3583.1,2026.0,instances/bms10000/sum.lp,11-ASP-order-trendy-usc-7000/bms10000/sum.lp.log.gz,0,0,3600.4,unknown,6.4,11.0,NaN,1048.0,970.0,3459028.0,9453110.0,6671.0,9452140.0,0.0,1.0,0.0,3379.0,31138377.0,9453110.0,27670757.0,3582.678,1.0,120198684.0,9455141.0,17316458.0,24219911.0,9453110.0,0.0,2032.0,8921.0,51877296.0,1.0,3600.0,13840329.0
3581.1,2026.0,instances/bms10000/world192.txt.lp,11-ASP-order-trendy-usc-7000/bms10000/world192.txt.lp.log.gz,0,0,3600.2,unknown,2.0,11.0,NaN,620.0,712.0,1210592.0,19608480.0,6923.0,19607768.0,0.0,1.0,0.0,2309.0,10906031.0,19608480.0,9685830.0,3581.033,1.0,36386930.0,19610093.0,6083574.0,8481087.0,19608480.0,0.0,1614.0,12051.0,18156740.0,1.0,3600.003,4850087.0
0.1,2026.0,instances/bms10000/book1.lp,11-ASP-order-trendy-usc-7000/bms10000/book1.lp.log.gz,0,0,3600.3,unknown,0.0,10.0,NaN,1951.0,1856.0,1571340.0,4339639.0,6868.0,4337783.0,0.0,1.0,0.0,17669.0,14151381.0,4339639.0,12570657.0,3584.611,1.0,3134062213.0,4341511.0,7883472.0,11006291.0,4339639.0,0.0,1873.0,3775.0,23565446.0,1.0,3600.001,6291711.0
3580.1,2026.0,instances/bms10000/asyoulik.txt.lp,11-ASP-order-trendy-usc-7000/bms10000/asyoulik.txt.lp.log.gz,0,0,3600.3,unknown,2.2,10.0,NaN,1537.0,1503.0,1303697.0,20847071.0,6894.0,20845569.0,0.0,1.0,0.0,9992.0,11743709.0,20847072.0,10430524.0,3579.909,1.0,301097313.0,20848807.0,6548366.0,9132862.0,20847071.0,0.0,1736.0,10517.0,19552889.0,1.0,3600.017,5222228.0
3575.8,2026.0,instances/bms10000/pic.lp,11-ASP-order-trendy-usc-7000/bms10000/pic.lp.log.gz,0,0,3603.7,unknown,64.5,11.0,NaN,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,3572.215,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,3600.007,97992993.0
3580.9,2026.0,instances/bms10000/paper3.lp,11-ASP-order-trendy-usc-7000/bms10000/paper3.lp.log.gz,0,0,3600.1,unknown,2.2,11.0,NaN,1281.0,1306.0,1323536.0,11478386.0,6897.0,11477080.0,0.0,1.0,0.0,8593.0,11922622.0,11478386.0,10589348.0,3580.792,1.0,139708472.0,11480114.0,6648508.0,9271683.0,11478386.0,0.0,1729.0,9535.0,19850985.0,1.0,3600.003,5301966.0
3538.2,2026.0,instances/bms10000/ptt5.lp,11-ASP-order-trendy-usc-7000/bms10000/ptt5.lp.log.gz,0,0,3605.6,unknown,82.7,11.0,NaN,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,3532.83,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,3600.003,97992993.0
3586.6,2026.0,instances/bms10000/aaa.txt.lp,11-ASP-order-trendy-usc-7000/bms10000/aaa.txt.lp.log.gz,0,0,3603.1,unknown,54.3,10.0,NaN,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,3583.559,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,3600.013,98020993.0
3581.6,2026.0,instances/bms10000/random.txt.lp,11-ASP-order-trendy-usc-7000/bms10000/random.txt.lp.log.gz,0,0,3600.1,unknown,0.6,11.0,NaN,1158.0,387.0,390610.0,6634000.0,6932.0,6633613.0,0.0,1.0,0.0,3553.0,3526298.0,6634000.0,3125689.0,3581.517,1.0,26497629.0,6636669.0,1049952.0,2741269.0,6634000.0,0.0,2670.0,4815.0,5856835.0,1.0,3599.997,1570248.0
3577.9,2026.0,instances/bms10000/paper2.lp,11-ASP-order-trendy-usc-7000/bms10000/paper2.lp.log.gz,0,0,3600.3,unknown,2.6,10.0,NaN,1150.0,1405.0,1458725.0,11274391.0,6864.0,11272986.0,0.0,1.0,0.0,7449.0,13139419.0,11274391.0,11671056.0,3577.638,1.0,195232136.0,11276165.0,7324870.0,10217974.0,11274391.0,0.0,1775.0,10044.0,21879127.0,1.0,3600.004,5842824.0
3483.4,2026.0,instances/bms10000/pi.txt.lp,11-ASP-order-trendy-usc-7000/bms10000/pi.txt.lp.log.gz,0,0,3600.3,unknown,16.1,11.0,NaN,1281.0,1510.0,2455956.0,61384.0,6990.0,59874.0,0.0,1.0,0.0,5273.0,22113774.0,61384.0,19647819.0,3483.127,1.0,1303559981.0,63363.0,12308300.0,17198691.0,61384.0,0.0,1980.0,229.0,36835691.0,1.0,3600.008,9830994.0
