CPU time,Date,Instance,Log,Obj updates,Obj val,Real time,Result,Sys time,Uptime,Used memory,c 3600   Acyc,c 3600   Binary,c 3600   Bounded,c 3600   Choice,c 3600   Conflict,c 3600   Count,c 3600   Executed,c 3600   Loop,c 3600   Minimize,c 3600   Other,c 3600   Ternary,c 3600 Acyc-Edges,c 3600 Atoms,c 3600 Backjumps,c 3600 Bodies,c 3600 CPU Time,c 3600 Calls,c 3600 Choices,c 3600 Conflicts,c 3600 Constraints,c 3600 Equivalences,c 3600 Lemmas,c 3600 Models,c 3600 Problems,c 3600 Restarts,c 3600 Rules,c 3600 TIME LIMIT,c 3600 Time,c 3600 Variables
3579.7,2026.0,instances/bms10000/paper4.lp,12-ASP-edge-trendy-usc-8000/bms10000/paper4.lp.log.gz,0,0,3600.2,unknown,2.2,4.0,NaN,4033584.0,679.0,918.0,2024792.0,22452874.0,7877.0,22451957.0,14977751.0,1.0,0.0,14408.0,4033584.0,10140432.0,22452875.0,12139912.0,3579.498,1.0,69049632.0,22454631.0,10152170.0,10107918.0,37430625.0,0.0,1757.0,14356.0,22264410.0,1.0,3600.002,4064082.0
3582.7,2026.0,instances/bms10000/sum.lp,12-ASP-edge-trendy-usc-8000/bms10000/sum.lp.log.gz,0,0,3600.4,unknown,4.3,5.0,NaN,8076030.0,1018.0,967.0,4046015.0,8995930.0,7655.0,8994963.0,5135652.0,1.0,0.0,27352.0,8076030.0,20244114.0,8995930.0,24266014.0,3582.247,1.0,205295983.0,8998190.0,20252481.0,20213834.0,14131582.0,0.0,2260.0,7057.0,44494293.0,1.0,3600.008,8104201.0
3578.4,2026.0,instances/bms10000/world192.txt.lp,12-ASP-edge-trendy-usc-8000/bms10000/world192.txt.lp.log.gz,0,0,3600.2,unknown,1.8,5.0,NaN,3394158.0,625.0,378.0,1705079.0,12334061.0,7924.0,12333683.0,160676.0,1.0,0.0,6641.0,3394158.0,8542338.0,12334061.0,10221864.0,3578.171,1.0,20022050.0,12335844.0,8554763.0,8509354.0,12494737.0,0.0,1784.0,13644.0,18748255.0,1.0,3600.005,3425125.0
3582.5,2026.0,instances/bms10000/book1.lp,12-ASP-edge-trendy-usc-8000/bms10000/book1.lp.log.gz,0,0,3600.1,unknown,2.2,4.0,NaN,4099468.0,1130.0,1485.0,2057734.0,18492914.0,7871.0,18491429.0,14931210.0,1.0,0.0,24117.0,4099468.0,10305578.0,18492914.0,12338005.0,3582.443,1.0,213083570.0,18494980.0,10318250.0,10272579.0,33424124.0,0.0,2067.0,11989.0,22627657.0,1.0,3599.997,4130424.0
3583.5,2026.0,instances/bms10000/asyoulik.txt.lp,12-ASP-edge-trendy-usc-8000/bms10000/asyoulik.txt.lp.log.gz,0,0,3600.1,unknown,1.7,4.0,NaN,3466982.0,1000.0,1203.0,1741491.0,27744101.0,7898.0,27742898.0,29580001.0,1.0,0.0,23144.0,3466982.0,8724290.0,27744101.0,10440341.0,3583.381,1.0,130950405.0,27746041.0,8736566.0,8691448.0,57324102.0,0.0,1941.0,16745.0,19148672.0,1.0,3599.997,3497821.0
3584.1,2026.0,instances/bms10000/pic.lp,12-ASP-edge-trendy-usc-8000/bms10000/pic.lp.log.gz,0,0,3602.5,unknown,47.8,4.0,NaN,63976002.0,1.0,1.0,31996001.0,1.0,7999.0,0.0,4255.0,1.0,0.0,1.0,63976002.0,159982002.0,1.0,191952004.0,3581.678,1.0,9435.0,4.0,159964002.0,159964001.0,4256.0,0.0,4.0,0.0,351918009.0,1.0,3600.002,63992001.0
3577.7,2026.0,instances/bms10000/paper3.lp,12-ASP-edge-trendy-usc-8000/bms10000/paper3.lp.log.gz,0,0,3600.1,unknown,1.7,4.0,NaN,3396638.0,1225.0,1242.0,1706319.0,10347320.0,7902.0,10346078.0,4394521.0,1.0,0.0,30806.0,3396638.0,8548510.0,10347320.0,10229143.0,3577.639,1.0,117336219.0,10349231.0,8560757.0,8515547.0,14741841.0,0.0,1912.0,10592.0,18761710.0,1.0,3600.003,3427579.0
3586.4,2026.0,instances/bms10000/ptt5.lp,12-ASP-edge-trendy-usc-8000/bms10000/ptt5.lp.log.gz,0,0,3601.8,unknown,34.4,4.0,NaN,63976002.0,1.0,1.0,31996001.0,1.0,7999.0,0.0,4255.0,1.0,0.0,1.0,63976002.0,159982002.0,1.0,191952004.0,3584.657,1.0,9435.0,4.0,159964002.0,159964001.0,4256.0,0.0,4.0,0.0,351918009.0,1.0,3600.001,63992001.0
3578.3,2026.0,instances/bms10000/aaa.txt.lp,12-ASP-edge-trendy-usc-8000/bms10000/aaa.txt.lp.log.gz,0,0,3602.3,unknown,47.6,4.0,NaN,63992000.0,0.0,0.0,32004000.0,0.0,8000.0,0.0,7998.0,1.0,0.0,1.0,63992000.0,160022000.0,0.0,192000001.0,3576.122,1.0,0.0,1.0,160004000.0,160003999.0,7998.0,0.0,2.0,0.0,352006001.0,1.0,3599.997,64008000.0
3582.5,2026.0,instances/bms10000/random.txt.lp,12-ASP-edge-trendy-usc-8000/bms10000/random.txt.lp.log.gz,0,0,3600.1,unknown,0.5,4.0,NaN,1001870.0,1005.0,364.0,508935.0,5648209.0,7941.0,5647845.0,8100.0,1.0,0.0,4756.0,1001870.0,2561514.0,5648209.0,3044450.0,3582.437,1.0,11491461.0,5651444.0,1402498.0,2528674.0,5656309.0,0.0,3235.0,4301.0,5590023.0,1.0,3600.011,1032709.0
