CPU time,Date,Instance,Log,Obj updates,Obj val,Real time,Result,Sys time,Uptime,Used memory,c 1248   Binary,c 1248   Bounded,c 1248   Conflict,c 1248   Executed,c 1248   Loop,c 1248   Other,c 1248   Ternary,c 1248 Atoms,c 1248 Backjumps,c 1248 Bodies,c 1248 CPU Time,c 1248 Calls,c 1248 Choices,c 1248 Conflicts,c 1248 Constraints,c 1248 Lemmas,c 1248 Models,c 1248 Problems,c 1248 Restarts,c 1248 Rules,c 1248 Time,c 1248 Variables,c 1263   Binary,c 1263   Bounded,c 1263   Conflict,c 1263   Executed,c 1263   Loop,c 1263   Other,c 1263   Ternary,c 1263 Atoms,c 1263 Backjumps,c 1263 Bodies,c 1263 CPU Time,c 1263 Calls,c 1263 Choices,c 1263 Conflicts,c 1263 Constraints,c 1263 Lemmas,c 1263 Models,c 1263 Problems,c 1263 Restarts,c 1263 Rules,c 1263 Time,c 1263 Variables,c 1297   Binary,c 1297   Bounded,c 1297   Conflict,c 1297   Executed,c 1297   Loop,c 1297   Other,c 1297   Ternary,c 1297 Atoms,c 1297 Backjumps,c 1297 Bodies,c 1297 CPU Time,c 1297 Calls,c 1297 Choices,c 1297 Conflicts,c 1297 Constraints,c 1297 Lemmas,c 1297 Models,c 1297 Problems,c 1297 Restarts,c 1297 Rules,c 1297 Time,c 1297 Variables,c 3600   Binary,c 3600   Bounded,c 3600   Choice,c 3600   Conflict,c 3600   Count,c 3600   Executed,c 3600   Loop,c 3600   Minimize,c 3600   Other,c 3600   Ternary,c 3600 Atoms,c 3600 Backjumps,c 3600 Bodies,c 3600 CPU Time,c 3600 Calls,c 3600 Choices,c 3600 Conflicts,c 3600 Constraints,c 3600 Equivalences,c 3600 Lemmas,c 3600 Models,c 3600 Problems,c 3600 Restarts,c 3600 Rules,c 3600 TIME LIMIT,c 3600 Time,c 3600 Variables
3581.0,2026.0,instances/bms10000/paper4.lp,12-ASP-order-trendy-usc-8000/bms10000/paper4.lp.log.gz,0,0,3600.2,unknown,3.5,5.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1305.0,1491.0,2024792.0,19504279.0,7877.0,19502788.0,0.0,1.0,0.0,7653.0,18231589.0,19504279.0,16197463.0,3580.873,1.0,383406555.0,19506096.0,10152170.0,14181451.0,19504279.0,0.0,1817.0,11312.0,30363556.0,1.0,3599.997,8105653.0
3581.8,2026.0,instances/bms10000/sum.lp,12-ASP-order-trendy-usc-8000/bms10000/sum.lp.log.gz,0,0,3600.4,unknown,7.1,5.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1513.0,1326.0,4046015.0,5940477.0,7655.0,5939151.0,0.0,1.0,0.0,8288.0,36420150.0,5940477.0,32365972.0,3581.42,1.0,614230037.0,5942739.0,20252481.0,28329828.0,5940477.0,0.0,2263.0,3980.0,60678305.0,1.0,3600.001,16188165.0
0.1,2026.0,instances/bms10000/world192.txt.lp,12-ASP-order-trendy-usc-8000/bms10000/world192.txt.lp.log.gz,0,0,3600.3,unknown,0.0,5.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580.0,684.0,1705079.0,10674033.0,7924.0,10673349.0,0.0,1.0,0.0,1559.0,15354646.0,10674033.0,13639998.0,3578.926,1.0,23884811.0,10675810.0,8554763.0,11943480.0,10674033.0,0.0,1778.0,4800.0,25568555.0,1.0,3600.005,6827271.0
3583.4,2026.0,instances/bms10000/book1.lp,12-ASP-order-trendy-usc-8000/bms10000/book1.lp.log.gz,0,0,3600.3,unknown,3.5,5.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1468.0,1892.0,2057734.0,12412535.0,7871.0,12410643.0,0.0,1.0,0.0,8501.0,18528508.0,12412535.0,16461455.0,3583.173,1.0,1323670856.0,12414602.0,10318250.0,14412053.0,12412535.0,0.0,2068.0,6754.0,30858581.0,1.0,3600.001,8237868.0
3579.9,2026.0,instances/bms10000/asyoulik.txt.lp,12-ASP-order-trendy-usc-8000/bms10000/asyoulik.txt.lp.log.gz,0,0,3600.3,unknown,3.0,5.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1519.0,1643.0,1741491.0,27750077.0,7898.0,27748434.0,0.0,1.0,0.0,9693.0,15682252.0,27750077.0,13931317.0,3579.642,1.0,359891025.0,27752026.0,8736566.0,12198420.0,27750077.0,0.0,1950.0,13693.0,26114632.0,1.0,3600.002,6972801.0
1441.9,2026.0,instances/bms10000/pic.lp,12-ASP-order-trendy-usc-8000/bms10000/pic.lp.log.gz,0,0,1462.2,unknown,56.5,5.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1278.451,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1297.319,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,2026.0,instances/bms10000/paper3.lp,12-ASP-order-trendy-usc-8000/bms10000/paper3.lp.log.gz,0,0,3600.1,unknown,0.0,5.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1587.0,1641.0,1706319.0,9646248.0,7902.0,9644607.0,0.0,1.0,0.0,11499.0,15365781.0,9646248.0,13649766.0,3579.164,1.0,474560327.0,9648181.0,8560757.0,11952176.0,9646248.0,0.0,1933.0,9089.0,25586976.0,1.0,3600.002,6832204.0
0.1,2026.0,instances/bms10000/ptt5.lp,12-ASP-order-trendy-usc-8000/bms10000/ptt5.lp.log.gz,0,0,1392.5,unknown,0.0,5.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1242.551,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1248.418,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1392.3,2026.0,instances/bms10000/aaa.txt.lp,12-ASP-order-trendy-usc-8000/bms10000/aaa.txt.lp.log.gz,0,0,1416.2,unknown,54.8,4.0,NaN,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1240.024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1263.122,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3582.2,2026.0,instances/bms10000/random.txt.lp,12-ASP-order-trendy-usc-8000/bms10000/random.txt.lp.log.gz,0,0,3600.1,unknown,0.9,5.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1478.0,429.0,508935.0,7127839.0,7941.0,7127410.0,0.0,1.0,0.0,3882.0,4589254.0,7127839.0,4070320.0,3582.15,1.0,35714100.0,7131080.0,1402498.0,3570544.0,7127839.0,0.0,3242.0,5713.0,7625763.0,1.0,3600.004,2042579.0
